val_loss,step,val_acc,epoch,train_acc,train_loss,test_acc
0.8075780272483826,1,0.13333334028720856,0,,,
,1,,0,0.5222222208976746,0.6800643801689148,
0.46623101830482483,3,1.0,1,,,
,3,,1,0.644444465637207,0.6527075171470642,
0.24193644523620605,5,1.0,2,,,
,5,,2,0.7666666507720947,0.5742718577384949,
0.07153604924678802,7,1.0,3,,,
,7,,3,0.7666666507720947,0.5239948034286499,
0.012440668419003487,9,1.0,4,,,
,9,,4,0.7666666507720947,0.498670369386673,
0.002656233962625265,11,1.0,5,,,
,11,,5,0.7777777910232544,0.48308223485946655,
0.00044285267358645797,13,1.0,6,,,
,13,,6,0.7888888716697693,0.4492221474647522,
0.00021283392561599612,15,1.0,7,,,
,15,,7,0.8111110925674438,0.4370410442352295,
3.535947689670138e-05,17,1.0,8,,,
,17,,8,0.7888888716697693,0.436646044254303,
1.4174675015965477e-05,19,1.0,9,,,
,19,,9,0.7888888716697693,0.43244585394859314,
6.662314262939617e-06,21,1.0,10,,,
,21,,10,0.7888888716697693,0.43016546964645386,
1.743092752803932e-06,23,1.0,11,,,
,23,,11,0.7777777910232544,0.4707198143005371,
1.2238758699822938e-06,25,1.0,12,,,
,25,,12,0.800000011920929,0.42395132780075073,
4.423980328738253e-07,27,1.0,13,,,
,27,,13,0.800000011920929,0.402517706155777,
6.092917459454839e-08,29,1.0,14,,,
,29,,14,0.800000011920929,0.4164985716342926,
1.2715651109829196e-07,31,1.0,15,,,
,31,,15,0.7333333492279053,0.47628089785575867,
9.271829526369402e-08,33,1.0,16,,,
,33,,16,0.7888888716697693,0.4021930396556854,
2.384185471271394e-08,35,1.0,17,,,
,35,,17,0.7555555701255798,0.43077027797698975,
2.384185471271394e-08,37,1.0,18,,,
,37,,18,0.7222222089767456,0.4227653443813324,
5.298189886815408e-09,39,1.0,19,,,
,39,,19,0.8111110925674438,0.3858560025691986,
2.6490951654523087e-09,41,1.0,20,,,
,41,,20,0.7555555701255798,0.42341646552085876,
5.298189886815408e-09,43,1.0,21,,,
,43,,21,0.800000011920929,0.39331093430519104,
2.6490951654523087e-09,45,1.0,22,,,
,45,,22,0.7888888716697693,0.403862327337265,
0.0,47,1.0,23,,,
,47,,23,0.800000011920929,0.39682459831237793,
0.0,49,1.0,24,,,
,49,,24,0.7444444298744202,0.430633544921875,
0.0,51,1.0,25,,,
,51,,25,0.8888888955116272,0.36012786626815796,
0.0,53,1.0,26,,,
,53,,26,0.7888888716697693,0.3962562680244446,
0.0,55,1.0,27,,,
,55,,27,0.7888888716697693,0.381455659866333,
