step,epoch,val_loss,val_acc,train_loss,train_acc,test_acc
43,21,,,0.3891165852546692,0.8333333134651184,
45,22,7.947285496356926e-09,1.0,,,
45,22,,,0.40688472986221313,0.7888888716697693,
47,23,0.0,1.0,,,
47,23,,,0.3898046314716339,0.800000011920929,
49,24,2.6490951654523087e-09,1.0,,,
49,24,,,0.4398842751979828,0.7333333492279053,
51,25,2.6490951654523087e-09,1.0,,,
51,25,,,0.3563016653060913,0.855555534362793,
53,26,0.0,1.0,,,
53,26,,,0.3840119242668152,0.7888888716697693,
55,27,0.0,1.0,,,
55,27,,,0.36815178394317627,0.8333333134651184,
57,28,0.0,1.0,,,
57,28,,,0.38191866874694824,0.8111110925674438,
59,29,0.0,1.0,,,
59,29,,,0.35505813360214233,0.8222222328186035,
61,30,0.0,1.0,,,
61,30,,,0.36014023423194885,0.8444444537162781,
63,31,0.0,1.0,,,
63,31,,,0.3947204053401947,0.8222222328186035,
65,32,0.0,1.0,,,
65,32,,,0.3891434669494629,0.7888888716697693,
67,33,0.0,1.0,,,
67,33,,,0.40641075372695923,0.800000011920929,
69,34,0.0,1.0,,,
69,34,,,0.3555963635444641,0.8222222328186035,
71,35,0.0,1.0,,,
71,35,,,0.33509984612464905,0.8777777552604675,
73,36,0.0,1.0,,,
73,36,,,0.39299875497817993,0.8222222328186035,
75,37,0.0,1.0,,,
75,37,,,0.34853824973106384,0.8444444537162781,
77,38,0.0,1.0,,,
77,38,,,0.40227487683296204,0.8111110925674438,
79,39,0.0,1.0,,,
79,39,,,0.3714526295661926,0.8111110925674438,
81,40,0.0,1.0,,,
81,40,,,0.33694523572921753,0.8777777552604675,
83,41,0.0,1.0,,,
83,41,,,0.3582615256309509,0.8333333134651184,
85,42,0.0,1.0,,,
85,42,,,0.309692919254303,0.8888888955116272,
87,43,0.0,1.0,,,
87,43,,,0.3228570222854614,0.8444444537162781,
89,44,0.0,1.0,,,
89,44,,,0.356190025806427,0.8111110925674438,
91,45,0.0,1.0,,,
91,45,,,0.31899166107177734,0.8333333134651184,
93,46,0.0,1.0,,,
93,46,,,0.33784130215644836,0.8333333134651184,
95,47,0.0,1.0,,,
95,47,,,0.41976749897003174,0.7777777910232544,
97,48,0.0,1.0,,,
97,48,,,0.3472277820110321,0.8444444537162781,
99,49,0.0,1.0,,,
99,49,,,0.33551645278930664,0.8444444537162781,
101,50,0.0,1.0,,,
101,50,,,0.40260177850723267,0.800000011920929,
103,51,0.0,1.0,,,
103,51,,,0.3267516791820526,0.8444444537162781,
105,52,0.0,1.0,,,
105,52,,,0.33013802766799927,0.8444444537162781,
107,53,0.0,1.0,,,
107,53,,,0.3571423888206482,0.8222222328186035,
109,54,0.0,1.0,,,
109,54,,,0.3504583537578583,0.800000011920929,
111,55,0.0,1.0,,,
111,55,,,0.39499419927597046,0.8111110925674438,
113,56,0.0,1.0,,,
113,56,,,0.3855753242969513,0.8444444537162781,
115,57,0.0,1.0,,,
115,57,,,0.36859896779060364,0.8111110925674438,
117,58,0.0,1.0,,,
117,58,,,0.3663810193538666,0.855555534362793,
119,59,0.0,1.0,,,
119,59,,,0.37198927998542786,0.8111110925674438,
121,60,0.0,1.0,,,
121,60,,,0.3240504562854767,0.8333333134651184,
123,61,0.0,1.0,,,
123,61,,,0.3578048646450043,0.8222222328186035,
125,62,0.0,1.0,,,
125,62,,,0.37566322088241577,0.8222222328186035,
127,63,0.0,1.0,,,
127,63,,,0.493234246969223,0.7222222089767456,
129,64,0.0,1.0,,,
129,64,,,0.32159116864204407,0.855555534362793,
131,65,0.0,1.0,,,
131,65,,,0.35748469829559326,0.8333333134651184,
133,66,0.0,1.0,,,
133,66,,,0.3195028007030487,0.855555534362793,
135,67,0.0,1.0,,,
135,67,,,0.33576440811157227,0.8333333134651184,
137,68,0.0,1.0,,,
137,68,,,0.3322737514972687,0.855555534362793,
139,69,0.0,1.0,,,
139,69,,,0.32326364517211914,0.8666666746139526,
141,70,0.0,1.0,,,
141,70,,,0.329877644777298,0.8444444537162781,
143,71,0.0,1.0,,,
143,71,,,0.3509249687194824,0.800000011920929,
145,72,0.0,1.0,,,
145,72,,,0.3841962516307831,0.8333333134651184,
147,73,0.0,1.0,,,
147,73,,,0.32931071519851685,0.8444444537162781,
149,74,0.0,1.0,,,
149,74,,,0.31161949038505554,0.8666666746139526,
151,75,0.0,1.0,,,
151,75,,,0.3681776225566864,0.8444444537162781,
153,76,0.0,1.0,,,
153,76,,,0.3237583637237549,0.8444444537162781,
155,77,0.0,1.0,,,
155,77,,,0.31889793276786804,0.8222222328186035,
157,78,0.0,1.0,,,
157,78,,,0.32309460639953613,0.8111110925674438,
159,79,0.0,1.0,,,
159,79,,,0.3150792717933655,0.855555534362793,
161,80,0.0,1.0,,,
161,80,,,0.3498683571815491,0.8111110925674438,
163,81,0.0,1.0,,,
163,81,,,0.34358835220336914,0.8666666746139526,
165,82,0.0,1.0,,,
165,82,,,0.35527053475379944,0.8222222328186035,
167,83,0.0,1.0,,,
167,83,,,0.3620641827583313,0.8444444537162781,
169,84,0.0,1.0,,,
169,84,,,0.33726567029953003,0.800000011920929,
171,85,0.0,1.0,,,
171,85,,,0.3701229989528656,0.855555534362793,
173,86,0.0,1.0,,,
173,86,,,0.3157135546207428,0.8444444537162781,
175,87,0.0,1.0,,,
175,87,,,0.33250418305397034,0.8444444537162781,
177,88,0.0,1.0,,,
177,88,,,0.329727441072464,0.8333333134651184,
179,89,0.0,1.0,,,
179,89,,,0.3623391389846802,0.8333333134651184,
181,90,0.0,1.0,,,
181,90,,,0.34411972761154175,0.8444444537162781,
183,91,0.0,1.0,,,
183,91,,,0.34233543276786804,0.855555534362793,
185,92,0.0,1.0,,,
185,92,,,0.3174794614315033,0.8444444537162781,
187,93,0.0,1.0,,,
187,93,,,0.3317553699016571,0.855555534362793,
189,94,0.0,1.0,,,
189,94,,,0.40136003494262695,0.7888888716697693,
191,95,0.0,1.0,,,
191,95,,,0.3541153073310852,0.855555534362793,
193,96,0.0,1.0,,,
193,96,,,0.4171780049800873,0.8222222328186035,
195,97,0.0,1.0,,,
195,97,,,0.3622376620769501,0.800000011920929,
197,98,0.0,1.0,,,
197,98,,,0.3342713415622711,0.8444444537162781,
199,99,0.0,1.0,,,
199,99,,,0.3177817165851593,0.855555534362793,
201,100,0.0,1.0,,,
201,100,,,0.35065820813179016,0.8333333134651184,
203,101,0.0,1.0,,,
203,101,,,0.3402913510799408,0.8333333134651184,
205,102,0.0,1.0,,,
205,102,,,0.3323674201965332,0.8111110925674438,
207,103,0.0,1.0,,,
207,103,,,0.3330092430114746,0.8444444537162781,
209,104,0.0,1.0,,,
209,104,,,0.36338046193122864,0.8444444537162781,
211,105,0.0,1.0,,,
211,105,,,0.3262347877025604,0.8777777552604675,
213,106,0.0,1.0,,,
213,106,,,0.33851078152656555,0.800000011920929,
215,107,0.0,1.0,,,
215,107,,,0.3394171893596649,0.8444444537162781,
217,108,0.0,1.0,,,
217,108,,,0.3497667610645294,0.8444444537162781,
219,109,0.0,1.0,,,
219,109,,,0.343683660030365,0.8333333134651184,
221,110,0.0,1.0,,,
221,110,,,0.3197234570980072,0.8777777552604675,
223,111,0.0,1.0,,,
223,111,,,0.3474125266075134,0.855555534362793,
225,112,0.0,1.0,,,
225,112,,,0.30282917618751526,0.8666666746139526,
227,113,0.0,1.0,,,
227,113,,,0.32617810368537903,0.8333333134651184,
229,114,0.0,1.0,,,
229,114,,,0.29278236627578735,0.8888888955116272,
231,115,0.0,1.0,,,
231,115,,,0.34256672859191895,0.8333333134651184,
233,116,0.0,1.0,,,
233,116,,,0.3725024461746216,0.8444444537162781,
235,117,0.0,1.0,,,
235,117,,,0.3558545410633087,0.8222222328186035,
237,118,0.0,1.0,,,
237,118,,,0.3423117399215698,0.8333333134651184,
239,119,0.0,1.0,,,
239,119,,,0.3911944031715393,0.8444444537162781,
241,120,0.0,1.0,,,
241,120,,,0.3298797309398651,0.855555534362793,
243,121,0.0,1.0,,,
243,121,,,0.37157100439071655,0.8111110925674438,
245,122,0.0,1.0,,,
245,122,,,0.34889018535614014,0.8333333134651184,
247,123,0.0,1.0,,,
247,123,,,0.33455178141593933,0.8333333134651184,
249,124,0.0,1.0,,,
249,124,,,0.3582633137702942,0.8111110925674438,
251,125,0.0,1.0,,,
251,125,,,0.32967498898506165,0.8444444537162781,
253,126,0.0,1.0,,,
253,126,,,0.34276771545410156,0.8666666746139526,
255,127,0.0,1.0,,,
255,127,,,0.3067190647125244,0.855555534362793,
257,128,0.0,1.0,,,
257,128,,,0.34032297134399414,0.855555534362793,
259,129,0.0,1.0,,,
259,129,,,0.3473401367664337,0.8444444537162781,
261,130,0.0,1.0,,,
261,130,,,0.3438712954521179,0.8333333134651184,
263,131,0.0,1.0,,,
263,131,,,0.33781665563583374,0.8222222328186035,
265,132,0.0,1.0,,,
265,132,,,0.3400028645992279,0.8444444537162781,
267,133,0.0,1.0,,,
267,133,,,0.32596996426582336,0.855555534362793,
269,134,0.0,1.0,,,
269,134,,,0.32671090960502625,0.8444444537162781,
271,135,0.0,1.0,,,
271,135,,,0.37870627641677856,0.8333333134651184,
273,136,0.0,1.0,,,
273,136,,,0.3000471293926239,0.8444444537162781,
275,137,0.0,1.0,,,
275,137,,,0.38562875986099243,0.8333333134651184,
277,138,0.0,1.0,,,
277,138,,,0.3288523256778717,0.8666666746139526,
279,139,0.0,1.0,,,
279,139,,,0.35885462164878845,0.8444444537162781,
281,140,0.0,1.0,,,
281,140,,,0.327353835105896,0.8444444537162781,
283,141,0.0,1.0,,,
283,141,,,0.32273414731025696,0.8666666746139526,
285,142,0.0,1.0,,,
285,142,,,0.35319480299949646,0.8444444537162781,
287,143,0.0,1.0,,,
287,143,,,0.35106825828552246,0.8222222328186035,
289,144,0.0,1.0,,,
289,144,,,0.3255949020385742,0.8222222328186035,
291,145,0.0,1.0,,,
291,145,,,0.32122012972831726,0.8333333134651184,
293,146,0.0,1.0,,,
293,146,,,0.31093916296958923,0.8444444537162781,
295,147,0.0,1.0,,,
295,147,,,0.3227119743824005,0.855555534362793,
297,148,0.0,1.0,,,
297,148,,,0.36748626828193665,0.8333333134651184,
299,149,0.0,1.0,,,
299,149,,,0.2873859107494354,0.8666666746139526,
301,150,0.0,1.0,,,
301,150,,,0.3208930492401123,0.8777777552604675,
303,151,0.0,1.0,,,
303,151,,,0.30841320753097534,0.8666666746139526,
305,152,0.0,1.0,,,
305,152,,,0.3510567545890808,0.8444444537162781,
307,153,0.0,1.0,,,
307,153,,,0.37858879566192627,0.7777777910232544,
309,154,0.0,1.0,,,
309,154,,,0.37432724237442017,0.8444444537162781,
311,155,0.0,1.0,,,
311,155,,,0.3744541108608246,0.8444444537162781,
313,156,0.0,1.0,,,
313,156,,,0.36660245060920715,0.8222222328186035,
315,157,0.0,1.0,,,
315,157,,,0.3697024881839752,0.8111110925674438,
317,158,0.0,1.0,,,
317,158,,,0.35604336857795715,0.8333333134651184,
319,159,0.0,1.0,,,
319,159,,,0.35062557458877563,0.855555534362793,
321,160,0.0,1.0,,,
321,160,,,0.3124314546585083,0.8666666746139526,
323,161,0.0,1.0,,,
323,161,,,0.33723950386047363,0.855555534362793,
325,162,0.0,1.0,,,
325,162,,,0.3767431080341339,0.8333333134651184,
327,163,0.0,1.0,,,
327,163,,,0.30937695503234863,0.8333333134651184,
329,164,0.0,1.0,,,
329,164,,,0.3259320557117462,0.855555534362793,
331,165,0.0,1.0,,,
331,165,,,0.3145919442176819,0.8222222328186035,
333,166,0.0,1.0,,,
333,166,,,0.3284550607204437,0.8444444537162781,
335,167,0.0,1.0,,,
335,167,,,0.33898255228996277,0.8444444537162781,
337,168,0.0,1.0,,,
337,168,,,0.3514285385608673,0.8333333134651184,
339,169,0.0,1.0,,,
339,169,,,0.32989922165870667,0.8222222328186035,
341,170,0.0,1.0,,,
341,170,,,0.29351356625556946,0.8888888955116272,
343,171,0.0,1.0,,,
343,171,,,0.31967398524284363,0.8666666746139526,
345,172,0.0,1.0,,,
345,172,,,0.31529781222343445,0.8777777552604675,
347,173,0.0,1.0,,,
347,173,,,0.33530861139297485,0.8222222328186035,
349,174,0.0,1.0,,,
349,174,,,0.3444283604621887,0.800000011920929,
351,175,0.0,1.0,,,
351,175,,,0.3124193847179413,0.8444444537162781,
353,176,0.0,1.0,,,
353,176,,,0.30026519298553467,0.855555534362793,
355,177,0.0,1.0,,,
355,177,,,0.29915907979011536,0.8777777552604675,
357,178,0.0,1.0,,,
357,178,,,0.3413665294647217,0.8111110925674438,
359,179,0.0,1.0,,,
359,179,,,0.3173474967479706,0.8777777552604675,
361,180,0.0,1.0,,,
361,180,,,0.3146324157714844,0.8666666746139526,
363,181,0.0,1.0,,,
363,181,,,0.28680306673049927,0.8777777552604675,
365,182,0.0,1.0,,,
365,182,,,0.2746320962905884,0.8444444537162781,
367,183,0.0,1.0,,,
367,183,,,0.3133445680141449,0.8444444537162781,
369,184,0.0,1.0,,,
369,184,,,0.37491780519485474,0.8333333134651184,
371,185,0.0,1.0,,,
371,185,,,0.30485156178474426,0.8888888955116272,
373,186,0.0,1.0,,,
373,186,,,0.3187146782875061,0.8777777552604675,
375,187,0.0,1.0,,,
375,187,,,0.3630557656288147,0.8222222328186035,
377,188,0.0,1.0,,,
377,188,,,0.3403704762458801,0.8444444537162781,
379,189,0.0,1.0,,,
379,189,,,0.2848077118396759,0.8888888955116272,
381,190,0.0,1.0,,,
381,190,,,0.3386329114437103,0.8444444537162781,
383,191,0.0,1.0,,,
383,191,,,0.32707569003105164,0.855555534362793,
385,192,0.0,1.0,,,
385,192,,,0.3666134178638458,0.8111110925674438,
387,193,0.0,1.0,,,
387,193,,,0.32215970754623413,0.855555534362793,
389,194,0.0,1.0,,,
389,194,,,0.3157332241535187,0.8444444537162781,
391,195,0.0,1.0,,,
391,195,,,0.29983246326446533,0.855555534362793,
393,196,0.0,1.0,,,
393,196,,,0.31531983613967896,0.855555534362793,
395,197,0.0,1.0,,,
395,197,,,0.3269929587841034,0.8444444537162781,
397,198,0.0,1.0,,,
397,198,,,0.3360835015773773,0.8111110925674438,
399,199,0.0,1.0,,,
399,199,,,0.288025438785553,0.8444444537162781,
400,200,,,,,0.7666666507720947
400,200,,,,,1.0
