step,epoch,val_loss,val_acc,train_loss,train_acc,test_acc
1,0,0.899790346622467,0.0,,,
1,0,,,0.6806554198265076,0.5444444417953491,
3,1,0.5718874335289001,0.9777777791023254,,,
3,1,,,0.6744873523712158,0.6111111044883728,
5,2,0.3573603332042694,1.0,,,
5,2,,,0.6007590293884277,0.7555555701255798,
7,3,0.15320654213428497,1.0,,,
7,3,,,0.5506187677383423,0.7666666507720947,
9,4,0.03985261172056198,1.0,,,
9,4,,,0.5112857222557068,0.7666666507720947,
11,5,0.009140917100012302,1.0,,,
11,5,,,0.48841068148612976,0.7777777910232544,
13,6,0.0015088006621226668,1.0,,,
13,6,,,0.45398765802383423,0.7888888716697693,
15,7,0.0009168722317554057,1.0,,,
15,7,,,0.44280239939689636,0.8333333134651184,
17,8,0.00016107586270663887,1.0,,,
17,8,,,0.4488310217857361,0.7888888716697693,
19,9,6.198204937390983e-05,1.0,,,
19,9,,,0.44332003593444824,0.800000011920929,
21,10,4.3012369133066386e-05,1.0,,,
21,10,,,0.4295330345630646,0.7777777910232544,
23,11,1.230207817570772e-05,1.0,,,
23,11,,,0.47845709323883057,0.7888888716697693,
25,12,5.907403647142928e-06,1.0,,,
25,12,,,0.4437920153141022,0.7888888716697693,
27,13,3.0172975584719097e-06,1.0,,,
27,13,,,0.40110862255096436,0.8111110925674438,
29,14,6.039927029632963e-07,1.0,,,
29,14,,,0.4266168773174286,0.7888888716697693,
31,15,5.854491860191047e-07,1.0,,,
31,15,,,0.45100292563438416,0.7555555701255798,
33,16,4.2120558418901055e-07,1.0,,,
33,16,,,0.39103418588638306,0.800000011920929,
35,17,1.2980561336917162e-07,1.0,,,
35,17,,,0.42926761507987976,0.7555555701255798,
37,18,9.271830947454873e-08,1.0,,,
37,18,,,0.4157898724079132,0.7888888716697693,
39,19,3.1789138432714026e-08,1.0,,,
39,19,,,0.37980902194976807,0.8111110925674438,
41,20,1.3245474939083124e-08,1.0,,,
41,20,,,0.4209114909172058,0.7333333492279053,
43,21,2.119275954726163e-08,1.0,,,
