epoch,val_acc,step,val_loss,train_loss,train_acc,test_acc
0,0.0,1,0.8971604108810425,,,
0,,1,,0.6806554198265076,0.5444444417953491,
1,0.9777777791023254,3,0.5688197016716003,,,
1,,3,,0.6744873523712158,0.6111111044883728,
2,1.0,5,0.35427480936050415,,,
2,,5,,0.6007590293884277,0.7555555701255798,
3,1.0,7,0.1516435593366623,,,
3,,7,,0.5506188273429871,0.7666666507720947,
4,1.0,9,0.039516936987638474,,,
4,,9,,0.5112857222557068,0.7666666507720947,
5,1.0,11,0.009089276194572449,,,
5,,11,,0.48841068148612976,0.7777777910232544,
6,1.0,13,0.0015033601084724069,,,
6,,13,,0.45398762822151184,0.7888888716697693,
7,1.0,15,0.0009147715172730386,,,
7,,15,,0.44280239939689636,0.8333333134651184,
8,1.0,17,0.00016084274102468044,,,
8,,17,,0.4488310217857361,0.7888888716697693,
9,1.0,19,6.192376895342022e-05,,,
9,,19,,0.44332003593444824,0.800000011920929,
10,1.0,21,4.2985877371393144e-05,,,
10,,21,,0.4295330345630646,0.7777777910232544,
11,1.0,23,1.2296779459575191e-05,,,
11,,23,,0.47845712304115295,0.7888888716697693,
12,1.0,25,5.9047547438240144e-06,,,
12,,25,,0.4437919557094574,0.7888888716697693,
13,1.0,27,3.0172975584719097e-06,,,
13,,27,,0.40110862255096436,0.8111110925674438,
14,1.0,29,6.039927029632963e-07,,,
14,,29,,0.4266168475151062,0.7888888716697693,
15,1.0,31,5.854491860191047e-07,,,
15,,31,,0.45100292563438416,0.7555555701255798,
16,1.0,33,4.2120558418901055e-07,,,
16,,33,,0.39103418588638306,0.800000011920929,
17,1.0,35,1.2980561336917162e-07,,,
17,,35,,0.42926761507987976,0.7555555701255798,
18,1.0,37,9.271830947454873e-08,,,
18,,37,,0.4157898724079132,0.7888888716697693,
19,1.0,39,3.1789138432714026e-08,,,
19,,39,,0.37980902194976807,0.8111110925674438,
20,1.0,41,1.3245474939083124e-08,,,
20,,41,,0.4209114909172058,0.7333333492279053,
21,1.0,43,2.119275954726163e-08,,,
21,,43,,0.3891166150569916,0.8333333134651184,
22,1.0,45,7.947285496356926e-09,,,
22,,45,,0.40688467025756836,0.7888888716697693,
23,1.0,47,0.0,,,
23,,47,,0.3898046314716339,0.800000011920929,
24,1.0,49,2.6490951654523087e-09,,,
24,,49,,0.4398842751979828,0.7333333492279053,
25,1.0,51,2.6490951654523087e-09,,,
25,,51,,0.3563016653060913,0.855555534362793,
26,1.0,53,0.0,,,
26,,53,,0.3840119540691376,0.7888888716697693,
27,1.0,55,0.0,,,
27,,55,,0.36815178394317627,0.8333333134651184,
28,1.0,57,0.0,,,
28,,57,,0.381918728351593,0.8111110925674438,
29,1.0,59,0.0,,,
29,,59,,0.35505813360214233,0.8222222328186035,
30,1.0,61,0.0,,,
30,,61,,0.3601401746273041,0.8444444537162781,
31,1.0,63,0.0,,,
31,,63,,0.3947204053401947,0.8222222328186035,
32,1.0,65,0.0,,,
32,,65,,0.3891434967517853,0.7888888716697693,
33,1.0,67,0.0,,,
33,,67,,0.40641075372695923,0.800000011920929,
34,1.0,69,0.0,,,
34,,69,,0.3555963635444641,0.8222222328186035,
35,1.0,71,0.0,,,
35,,71,,0.3350999057292938,0.8777777552604675,
36,1.0,73,0.0,,,
36,,73,,0.39299875497817993,0.8222222328186035,
37,1.0,75,0.0,,,
37,,75,,0.34853824973106384,0.8444444537162781,
38,1.0,77,0.0,,,
38,,77,,0.40227487683296204,0.8111110925674438,
39,1.0,79,0.0,,,
39,,79,,0.3714526295661926,0.8111110925674438,
40,1.0,81,0.0,,,
40,,81,,0.3369452655315399,0.8777777552604675,
41,1.0,83,0.0,,,
41,,83,,0.35826149582862854,0.8333333134651184,
42,1.0,85,0.0,,,
42,,85,,0.3096928894519806,0.8888888955116272,
43,1.0,87,0.0,,,
43,,87,,0.3228570222854614,0.8444444537162781,
44,1.0,89,0.0,,,
44,,89,,0.356190025806427,0.8111110925674438,
45,1.0,91,0.0,,,
45,,91,,0.31899169087409973,0.8333333134651184,
46,1.0,93,0.0,,,
46,,93,,0.33784130215644836,0.8333333134651184,
47,1.0,95,0.0,,,
47,,95,,0.41976749897003174,0.7777777910232544,
48,1.0,97,0.0,,,
48,,97,,0.3472277820110321,0.8444444537162781,
49,1.0,99,0.0,,,
49,,99,,0.33551648259162903,0.8444444537162781,
50,1.0,101,0.0,,,
50,,101,,0.40260177850723267,0.800000011920929,
51,1.0,103,0.0,,,
51,,103,,0.3267516493797302,0.8444444537162781,
52,1.0,105,0.0,,,
52,,105,,0.33013802766799927,0.8444444537162781,
53,1.0,107,0.0,,,
