val_loss,step,val_acc,epoch,train_acc,train_loss,test_acc
0.7127131223678589,1,0.644444465637207,0,,,
,1,,0,0.5111111402511597,0.6723597049713135,
0.6902786493301392,3,0.644444465637207,1,,,
,3,,1,0.699999988079071,0.6524859666824341,
0.6728054285049438,5,0.644444465637207,2,,,
,5,,2,0.699999988079071,0.643903374671936,
0.667244017124176,7,0.644444465637207,3,,,
,7,,3,0.699999988079071,0.6145749688148499,
0.6505231857299805,9,0.644444465637207,4,,,
,9,,4,0.699999988079071,0.6201404333114624,
0.6456344723701477,11,0.644444465637207,5,,,
,11,,5,0.699999988079071,0.6198299527168274,
0.6433039307594299,13,0.644444465637207,6,,,
,13,,6,0.699999988079071,0.6091171503067017,
0.6428578495979309,15,0.644444465637207,7,,,
,15,,7,0.699999988079071,0.594818651676178,
0.6448696851730347,17,0.644444465637207,8,,,
,17,,8,0.699999988079071,0.6112486124038696,
0.6522279381752014,19,0.644444465637207,9,,,
,19,,9,0.699999988079071,0.6113755702972412,
0.6645781397819519,21,0.644444465637207,10,,,
,21,,10,0.699999988079071,0.6220458745956421,
0.6590847373008728,23,0.644444465637207,11,,,
,23,,11,0.699999988079071,0.6327874064445496,
0.6550182700157166,25,0.644444465637207,12,,,
,25,,12,0.699999988079071,0.6272234320640564,
0.649248480796814,27,0.644444465637207,13,,,
,27,,13,0.699999988079071,0.6012269258499146,
0.6300058960914612,29,0.644444465637207,14,,,
,29,,14,0.699999988079071,0.6123456954956055,
0.6261619925498962,31,0.6666666865348816,15,,,
,31,,15,0.7111111283302307,0.6114468574523926,
0.6253567934036255,33,0.644444465637207,16,,,
,33,,16,0.7333333492279053,0.6005510687828064,
0.6325926184654236,35,0.644444465637207,17,,,
,35,,17,0.699999988079071,0.6053070425987244,
0.6505354046821594,37,0.644444465637207,18,,,
,37,,18,0.7111111283302307,0.5806592106819153,
0.6403588056564331,39,0.644444465637207,19,,,
,39,,19,0.699999988079071,0.6072549819946289,
0.6203468441963196,41,0.644444465637207,20,,,
,41,,20,0.699999988079071,0.591518759727478,
0.6147400736808777,43,0.6888889074325562,21,,,
,43,,21,0.7222222089767456,0.6244475245475769,
0.6224325299263,45,0.644444465637207,22,,,
,45,,22,0.7333333492279053,0.5898007750511169,
0.632777214050293,47,0.644444465637207,23,,,
,47,,23,0.699999988079071,0.5939009189605713,
0.6304193139076233,49,0.644444465637207,24,,,
