step,epoch,val_loss,val_acc,train_loss,train_acc,test_acc
1,0,0.7127131223678589,0.644444465637207,,,
1,0,,,0.6723597645759583,0.5111111402511597,
3,1,0.6902786493301392,0.644444465637207,,,
3,1,,,0.6524859666824341,0.699999988079071,
5,2,0.6728054285049438,0.644444465637207,,,
5,2,,,0.643903374671936,0.699999988079071,
7,3,0.667244017124176,0.644444465637207,,,
7,3,,,0.6145749688148499,0.699999988079071,
9,4,0.6505231857299805,0.644444465637207,,,
9,4,,,0.6201404333114624,0.699999988079071,
11,5,0.6456344723701477,0.644444465637207,,,
11,5,,,0.6198299527168274,0.699999988079071,
13,6,0.6433039307594299,0.644444465637207,,,
13,6,,,0.6091171503067017,0.699999988079071,
15,7,0.6428578495979309,0.644444465637207,,,
15,7,,,0.594818651676178,0.699999988079071,
17,8,0.6448696851730347,0.644444465637207,,,
17,8,,,0.6112486124038696,0.699999988079071,
19,9,0.6522278785705566,0.644444465637207,,,
19,9,,,0.6113755702972412,0.699999988079071,
21,10,0.6645781397819519,0.644444465637207,,,
21,10,,,0.6220458745956421,0.699999988079071,
23,11,0.6590847373008728,0.644444465637207,,,
23,11,,,0.6327874064445496,0.699999988079071,
25,12,0.6550182700157166,0.644444465637207,,,
25,12,,,0.6272233724594116,0.699999988079071,
27,13,0.649248480796814,0.644444465637207,,,
27,13,,,0.6012269854545593,0.699999988079071,
29,14,0.6300058960914612,0.644444465637207,,,
29,14,,,0.6123457551002502,0.699999988079071,
31,15,0.6261619925498962,0.6666666865348816,,,
31,15,,,0.6114468574523926,0.7111111283302307,
33,16,0.6253567934036255,0.644444465637207,,,
33,16,,,0.6005510687828064,0.7333333492279053,
35,17,0.6325926184654236,0.644444465637207,,,
35,17,,,0.6053070425987244,0.699999988079071,
37,18,0.6505354046821594,0.644444465637207,,,
37,18,,,0.5806592106819153,0.7111111283302307,
39,19,0.6403588056564331,0.644444465637207,,,
39,19,,,0.6072549819946289,0.699999988079071,
41,20,0.6203468441963196,0.644444465637207,,,
41,20,,,0.5915187001228333,0.699999988079071,
43,21,0.6147400736808777,0.6888889074325562,,,
43,21,,,0.6244475245475769,0.7222222089767456,
45,22,0.6224325299263,0.644444465637207,,,
45,22,,,0.5898007750511169,0.7333333492279053,
47,23,0.632777214050293,0.644444465637207,,,
47,23,,,0.5939009189605713,0.699999988079071,
49,24,0.6304192543029785,0.644444465637207,,,
49,24,,,0.5928688049316406,0.699999988079071,
51,25,0.6175909042358398,0.6666666865348816,,,
51,25,,,0.5827775001525879,0.699999988079071,
53,26,0.6110481023788452,0.6666666865348816,,,
53,26,,,0.5855270624160767,0.7111111283302307,
55,27,0.6036184430122375,0.6888889074325562,,,
55,27,,,0.5853996276855469,0.7333333492279053,
57,28,0.5934415459632874,0.7111111283302307,,,
57,28,,,0.5740436315536499,0.7111111283302307,
59,29,0.5870158076286316,0.7333333492279053,,,
59,29,,,0.577734112739563,0.7444444298744202,
61,30,0.581645131111145,0.7111111283302307,,,
