epoch,val_loss,step,val_acc,train_acc,train_loss,test_acc
0,0.7127131223678589,1,0.644444465637207,,,
0,,1,,0.5111111402511597,0.6723597645759583,
1,0.6902786493301392,3,0.644444465637207,,,
1,,3,,0.699999988079071,0.6524859666824341,
2,0.6728054285049438,5,0.644444465637207,,,
2,,5,,0.699999988079071,0.643903374671936,
3,0.667244017124176,7,0.644444465637207,,,
3,,7,,0.699999988079071,0.6145749688148499,
4,0.6505231857299805,9,0.644444465637207,,,
4,,9,,0.699999988079071,0.6201404333114624,
5,0.6456344723701477,11,0.644444465637207,,,
5,,11,,0.699999988079071,0.6198299527168274,
6,0.6433039307594299,13,0.644444465637207,,,
6,,13,,0.699999988079071,0.6091170907020569,
7,0.6428577899932861,15,0.644444465637207,,,
7,,15,,0.699999988079071,0.594818651676178,
8,0.6448696851730347,17,0.644444465637207,,,
8,,17,,0.699999988079071,0.6112486124038696,
9,0.6522278785705566,19,0.644444465637207,,,
9,,19,,0.699999988079071,0.6113755702972412,
10,0.6645781397819519,21,0.644444465637207,,,
10,,21,,0.699999988079071,0.6220458745956421,
11,0.6590847373008728,23,0.644444465637207,,,
11,,23,,0.699999988079071,0.6327874660491943,
12,0.6550182700157166,25,0.644444465637207,,,
12,,25,,0.699999988079071,0.6272233724594116,
13,0.6492484211921692,27,0.644444465637207,,,
13,,27,,0.699999988079071,0.6012269258499146,
14,0.6300058960914612,29,0.644444465637207,,,
14,,29,,0.699999988079071,0.6123456954956055,
15,0.6261619925498962,31,0.6666666865348816,,,
15,,31,,0.7111111283302307,0.6114467978477478,
16,0.6253567934036255,33,0.644444465637207,,,
16,,33,,0.7333333492279053,0.6005510091781616,
17,0.6325926184654236,35,0.644444465637207,,,
17,,35,,0.699999988079071,0.6053070425987244,
18,0.6505354046821594,37,0.644444465637207,,,
18,,37,,0.7111111283302307,0.5806592106819153,
19,0.6403588056564331,39,0.644444465637207,,,
19,,39,,0.699999988079071,0.6072549819946289,
20,0.6203468441963196,41,0.644444465637207,,,
20,,41,,0.699999988079071,0.591518759727478,
21,0.6147400736808777,43,0.6888889074325562,,,
21,,43,,0.7222222089767456,0.6244475245475769,
22,0.6224325299263,45,0.644444465637207,,,
22,,45,,0.7333333492279053,0.5898007750511169,
23,0.632777214050293,47,0.644444465637207,,,
23,,47,,0.699999988079071,0.5939009189605713,
24,0.6304192543029785,49,0.644444465637207,,,
24,,49,,0.699999988079071,0.5928688049316406,
25,0.6175910234451294,51,0.6666666865348816,,,
25,,51,,0.699999988079071,0.5827775001525879,
26,0.6110481023788452,53,0.6666666865348816,,,
26,,53,,0.7111111283302307,0.5855270028114319,
27,0.6036185026168823,55,0.6888889074325562,,,
27,,55,,0.7333333492279053,0.5853996276855469,
28,0.5934415459632874,57,0.7111111283302307,,,
28,,57,,0.7111111283302307,0.5740436315536499,
29,0.5870158076286316,59,0.7333333492279053,,,
29,,59,,0.7444444298744202,0.5777340531349182,
30,0.581645131111145,61,0.7111111283302307,,,
30,,61,,0.7777777910232544,0.5743734836578369,
31,0.5923964381217957,63,0.6888889074325562,,,
31,,63,,0.7444444298744202,0.5798271894454956,
32,0.5683481097221375,65,0.7333333492279053,,,
32,,65,,0.7444444298744202,0.5409555435180664,
33,0.5637735724449158,67,0.7111111283302307,,,
33,,67,,0.7666666507720947,0.5595159530639648,
34,0.5717258453369141,69,0.6888889074325562,,,
34,,69,,0.7555555701255798,0.5267946720123291,
35,0.5624760389328003,71,0.6888889074325562,,,
35,,71,,0.7444444298744202,0.5319311618804932,
36,0.5455010533332825,73,0.7777777910232544,,,
36,,73,,0.7444444298744202,0.5612215995788574,
37,0.5382884740829468,75,0.7777777910232544,,,
37,,75,,0.7888888716697693,0.5079028010368347,
38,0.6057945489883423,77,0.6666666865348816,,,
38,,77,,0.7222222089767456,0.5462870001792908,
39,0.5677766799926758,79,0.6666666865348816,,,
39,,79,,0.7222222089767456,0.5383436679840088,
40,0.5226880311965942,81,0.7555555701255798,,,
40,,81,,0.7666666507720947,0.5090124011039734,
41,0.5203351378440857,83,0.7111111283302307,,,
41,,83,,0.7555555701255798,0.4931502342224121,
42,0.5033926367759705,85,0.7777777910232544,,,
42,,85,,0.7666666507720947,0.4480213224887848,
43,0.5438441634178162,87,0.6666666865348816,,,
43,,87,,0.7777777910232544,0.4688189625740051,
44,0.4970695376396179,89,0.7555555701255798,,,
44,,89,,0.7444444298744202,0.4746343493461609,
