val_loss,val_acc,epoch,step,train_loss,train_acc,test_acc
0.8090073466300964,0.13333334028720856,0,1,,,
,,0,1,0.6800856590270996,0.5222222208976746,
0.4675573706626892,1.0,1,3,,,
,,1,3,0.6525391340255737,0.644444465637207,
0.24326935410499573,1.0,2,5,,,
,,2,5,0.5739576816558838,0.7666666507720947,
0.07241147011518478,1.0,3,7,,,
,,3,7,0.5238166451454163,0.7666666507720947,
0.012672931887209415,1.0,4,9,,,
,,4,9,0.498853862285614,0.7666666507720947,
0.0027168740052729845,1.0,5,11,,,
,,5,11,0.4830712080001831,0.7777777910232544,
0.000449700397439301,1.0,6,13,,,
,,6,13,0.449180006980896,0.7888888716697693,
0.00022069491387810558,1.0,7,15,,,
,,7,15,0.4374498724937439,0.8111110925674438,
3.6257457395549864e-05,1.0,8,17,,,
,,8,17,0.43747270107269287,0.7888888716697693,
1.4871346138534136e-05,1.0,9,19,,,
,,9,19,0.43235108256340027,0.7888888716697693,
6.940460480109323e-06,1.0,10,21,,,
,,10,21,0.4305117428302765,0.7888888716697693,
1.8119685591955204e-06,1.0,11,23,,,
,,11,23,0.4696638882160187,0.7777777910232544,
1.3218916592450114e-06,1.0,12,25,,,
,,12,25,0.42455413937568665,0.800000011920929,
4.821343395633448e-07,1.0,13,27,,,
,,13,27,0.4037218391895294,0.800000011920929,
6.35782697600007e-08,1.0,14,29,,,
,,14,29,0.4167218506336212,0.800000011920929,
1.112619401055781e-07,1.0,15,31,,,
,,15,31,0.47613805532455444,0.7333333492279053,
9.271829526369402e-08,1.0,16,33,,,
,,16,33,0.3981269896030426,0.800000011920929,
2.384185471271394e-08,1.0,17,35,,,
,,17,35,0.4307105243206024,0.7555555701255798,
1.854366615816616e-08,1.0,18,37,,,
,,18,37,0.4168703854084015,0.7444444298744202,
5.298189886815408e-09,1.0,19,39,,,
,,19,39,0.3850409686565399,0.8111110925674438,
2.6490951654523087e-09,1.0,20,41,,,
,,20,41,0.42013150453567505,0.7555555701255798,
2.6490951654523087e-09,1.0,21,43,,,
,,21,43,0.3935491442680359,0.7888888716697693,
2.6490951654523087e-09,1.0,22,45,,,
