epoch,val_acc,step,val_loss,train_loss,train_acc,test_acc
0,0.06666667014360428,1,0.8194891214370728,,,
0,,1,,0.6800618767738342,0.5111111402511597,
1,1.0,3,0.4739605784416199,,,
1,,3,,0.6597482562065125,0.6222222447395325,
2,1.0,5,0.25289133191108704,,,
2,,5,,0.5844402313232422,0.7666666507720947,
3,1.0,7,0.08023708313703537,,,
3,,7,,0.5320286154747009,0.7666666507720947,
4,1.0,9,0.014028787612915039,,,
4,,9,,0.5023459792137146,0.7666666507720947,
5,1.0,11,0.0024415866937488317,,,
5,,11,,0.4787197411060333,0.7777777910232544,
6,1.0,13,0.00038185424637049437,,,
6,,13,,0.44522935152053833,0.800000011920929,
7,1.0,15,0.0001811692345654592,,,
7,,15,,0.44046521186828613,0.8222222328186035,
8,1.0,17,2.65427770500537e-05,,,
8,,17,,0.43707847595214844,0.7888888716697693,
9,1.0,19,7.849155736039393e-06,,,
9,,19,,0.4264719784259796,0.8222222328186035,
10,1.0,21,4.11665860156063e-06,,,
10,,21,,0.4284670650959015,0.7888888716697693,
11,1.0,23,1.1205644341316656e-06,,,
11,,23,,0.4632260501384735,0.7888888716697693,
12,1.0,25,5.324674248186057e-07,,,
12,,25,,0.43420588970184326,0.800000011920929,
13,1.0,27,1.5894565308371966e-07,,,
13,,27,,0.39755934476852417,0.8111110925674438,
14,1.0,29,2.6490949878166248e-08,,,
14,,29,,0.43101340532302856,0.800000011920929,
15,1.0,31,3.1789138432714026e-08,,,
15,,31,,0.4491397440433502,0.7777777910232544,
16,1.0,33,1.0596380661809235e-08,,,
16,,33,,0.39620670676231384,0.800000011920929,
17,1.0,35,0.0,,,
17,,35,,0.42806321382522583,0.7666666507720947,
18,1.0,37,2.6490951654523087e-09,,,
18,,37,,0.4202384948730469,0.7555555701255798,
19,1.0,39,0.0,,,
19,,39,,0.3859846889972687,0.8222222328186035,
20,1.0,41,0.0,,,
20,,41,,0.4147968590259552,0.7444444298744202,
21,1.0,43,0.0,,,
21,,43,,0.37706857919692993,0.8444444537162781,
22,1.0,45,0.0,,,
22,,45,,0.416932076215744,0.7888888716697693,
23,1.0,47,0.0,,,
23,,47,,0.3920375406742096,0.7777777910232544,
24,1.0,49,0.0,,,
24,,49,,0.4606679379940033,0.7444444298744202,
25,1.0,51,0.0,,,
25,,51,,0.3523031175136566,0.8666666746139526,
26,1.0,53,0.0,,,
26,,53,,0.3939999043941498,0.800000011920929,
27,1.0,55,0.0,,,
27,,55,,0.37010684609413147,0.8111110925674438,
28,1.0,57,0.0,,,
28,,57,,0.38386955857276917,0.8111110925674438,
29,1.0,59,0.0,,,
29,,59,,0.35602158308029175,0.800000011920929,
30,1.0,61,0.0,,,
30,,61,,0.3645314574241638,0.8333333134651184,
31,1.0,63,0.0,,,
31,,63,,0.3781083822250366,0.8111110925674438,
32,1.0,65,0.0,,,
32,,65,,0.41245219111442566,0.7666666507720947,
33,1.0,67,0.0,,,
33,,67,,0.408538818359375,0.8111110925674438,
34,1.0,69,0.0,,,
34,,69,,0.35284623503685,0.8222222328186035,
35,1.0,71,0.0,,,
35,,71,,0.33718711137771606,0.8999999761581421,
36,1.0,73,0.0,,,
36,,73,,0.3935512900352478,0.8111110925674438,
37,1.0,75,0.0,,,
37,,75,,0.34970346093177795,0.8222222328186035,
38,1.0,77,0.0,,,
38,,77,,0.39332932233810425,0.800000011920929,
39,1.0,79,0.0,,,
39,,79,,0.36400073766708374,0.8111110925674438,
40,1.0,81,0.0,,,
40,,81,,0.33570122718811035,0.8666666746139526,
41,1.0,83,0.0,,,
41,,83,,0.341144859790802,0.8666666746139526,
42,1.0,85,0.0,,,
42,,85,,0.3317285180091858,0.8666666746139526,
43,1.0,87,0.0,,,
43,,87,,0.3152465522289276,0.8666666746139526,
44,1.0,89,0.0,,,
44,,89,,0.3734091818332672,0.8222222328186035,
45,1.0,91,0.0,,,
45,,91,,0.3347749412059784,0.8333333134651184,
46,1.0,93,0.0,,,
46,,93,,0.3409968614578247,0.855555534362793,
47,1.0,95,0.0,,,
47,,95,,0.43009448051452637,0.800000011920929,
48,1.0,97,0.0,,,
48,,97,,0.3498235046863556,0.8222222328186035,
49,1.0,99,0.0,,,
49,,99,,0.34033602476119995,0.8666666746139526,
50,1.0,101,0.0,,,
50,,101,,0.38492175936698914,0.8111110925674438,
51,1.0,103,0.0,,,
51,,103,,0.33024221658706665,0.8222222328186035,
52,1.0,105,0.0,,,
52,,105,,0.32147619128227234,0.8333333134651184,
53,1.0,107,0.0,,,
53,,107,,0.3530734181404114,0.8333333134651184,
54,1.0,109,0.0,,,
54,,109,,0.3421597182750702,0.8111110925674438,
55,1.0,111,0.0,,,
55,,111,,0.37161144614219666,0.8333333134651184,
56,1.0,113,0.0,,,
56,,113,,0.3678620159626007,0.8666666746139526,
57,1.0,115,0.0,,,
57,,115,,0.3564780354499817,0.8444444537162781,
58,1.0,117,0.0,,,
58,,117,,0.3431728482246399,0.855555534362793,
59,1.0,119,0.0,,,
59,,119,,0.37344634532928467,0.8111110925674438,
60,1.0,121,0.0,,,
60,,121,,0.33255037665367126,0.8222222328186035,
61,1.0,123,0.0,,,
61,,123,,0.3474981486797333,0.8222222328186035,
62,1.0,125,0.0,,,
62,,125,,0.3905869424343109,0.8111110925674438,
63,1.0,127,0.0,,,
63,,127,,0.46933016180992126,0.7555555701255798,
64,1.0,129,0.0,,,
64,,129,,0.33796611428260803,0.855555534362793,
65,1.0,131,0.0,,,
65,,131,,0.3596065640449524,0.8111110925674438,
66,1.0,133,0.0,,,
66,,133,,0.329076886177063,0.8444444537162781,
67,1.0,135,0.0,,,
67,,135,,0.349934846162796,0.8333333134651184,
68,1.0,137,0.0,,,
68,,137,,0.3340616524219513,0.8444444537162781,
69,1.0,139,0.0,,,
69,,139,,0.32504576444625854,0.8666666746139526,
70,1.0,141,0.0,,,
70,,141,,0.3362469971179962,0.8333333134651184,
71,1.0,143,0.0,,,
71,,143,,0.34724634885787964,0.8333333134651184,
72,1.0,145,0.0,,,
72,,145,,0.38852760195732117,0.800000011920929,
73,1.0,147,0.0,,,
73,,147,,0.33331602811813354,0.8444444537162781,
74,1.0,149,0.0,,,
74,,149,,0.30646833777427673,0.8777777552604675,
75,1.0,151,0.0,,,
75,,151,,0.3560335040092468,0.8333333134651184,
76,1.0,153,0.0,,,
