epoch,val_loss,val_acc,step,train_acc,train_loss,test_acc
0,0.8971604108810425,0.0,1,,,
0,,,1,0.5444444417953491,0.6806554198265076,
1,0.5688197016716003,0.9777777791023254,3,,,
1,,,3,0.6111111044883728,0.6744873523712158,
2,0.35427477955818176,1.0,5,,,
2,,,5,0.7555555701255798,0.6007590293884277,
3,0.1516435444355011,1.0,7,,,
3,,,7,0.7666666507720947,0.5506188273429871,
4,0.039516936987638474,1.0,9,,,
4,,,9,0.7666666507720947,0.5112857222557068,
5,0.009089278988540173,1.0,11,,,
5,,,11,0.7777777910232544,0.48841068148612976,
6,0.0015033601084724069,1.0,13,,,
6,,,13,0.7888888716697693,0.45398765802383423,
7,0.0009147715172730386,1.0,15,,,
7,,,15,0.8333333134651184,0.44280239939689636,
8,0.00016084274102468044,1.0,17,,,
8,,,17,0.7888888716697693,0.4488310217857361,
9,6.192376895342022e-05,1.0,19,,,
9,,,19,0.800000011920929,0.44332003593444824,
10,4.2985877371393144e-05,1.0,21,,,
10,,,21,0.7777777910232544,0.4295330345630646,
11,1.2296779459575191e-05,1.0,23,,,
11,,,23,0.7888888716697693,0.47845709323883057,
12,5.9047547438240144e-06,1.0,25,,,
12,,,25,0.7888888716697693,0.4437919557094574,
13,3.0172975584719097e-06,1.0,27,,,
13,,,27,0.8111110925674438,0.40110862255096436,
14,6.039927029632963e-07,1.0,29,,,
14,,,29,0.7888888716697693,0.4266168773174286,
15,5.854491860191047e-07,1.0,31,,,
15,,,31,0.7555555701255798,0.45100292563438416,
16,4.2120558418901055e-07,1.0,33,,,
16,,,33,0.800000011920929,0.39103418588638306,
17,1.2980561336917162e-07,1.0,35,,,
17,,,35,0.7555555701255798,0.4292675852775574,
18,9.271830947454873e-08,1.0,37,,,
18,,,37,0.7888888716697693,0.4157898426055908,
19,3.1789138432714026e-08,1.0,39,,,
19,,,39,0.8111110925674438,0.37980902194976807,
20,1.3245474939083124e-08,1.0,41,,,
20,,,41,0.7333333492279053,0.4209114909172058,
21,2.119275954726163e-08,1.0,43,,,
21,,,43,0.8333333134651184,0.3891165852546692,
22,7.947285496356926e-09,1.0,45,,,
22,,,45,0.7888888716697693,0.40688467025756836,
23,0.0,1.0,47,,,
23,,,47,0.800000011920929,0.3898046314716339,
24,2.6490951654523087e-09,1.0,49,,,
24,,,49,0.7333333492279053,0.4398843050003052,
25,2.6490951654523087e-09,1.0,51,,,
25,,,51,0.855555534362793,0.3563016653060913,
26,0.0,1.0,53,,,
26,,,53,0.7888888716697693,0.3840119540691376,
27,0.0,1.0,55,,,
27,,,55,0.8333333134651184,0.36815178394317627,
28,0.0,1.0,57,,,
28,,,57,0.8111110925674438,0.38191866874694824,
29,0.0,1.0,59,,,
29,,,59,0.8222222328186035,0.35505813360214233,
30,0.0,1.0,61,,,
30,,,61,0.8444444537162781,0.3601401746273041,
31,0.0,1.0,63,,,
31,,,63,0.8222222328186035,0.3947204053401947,
32,0.0,1.0,65,,,
32,,,65,0.7888888716697693,0.3891434669494629,
33,0.0,1.0,67,,,
33,,,67,0.800000011920929,0.40641072392463684,
34,0.0,1.0,69,,,
34,,,69,0.8222222328186035,0.3555963635444641,
35,0.0,1.0,71,,,
35,,,71,0.8777777552604675,0.33509984612464905,
36,0.0,1.0,73,,,
36,,,73,0.8222222328186035,0.39299875497817993,
37,0.0,1.0,75,,,
37,,,75,0.8444444537162781,0.34853821992874146,
38,0.0,1.0,77,,,
38,,,77,0.8111110925674438,0.40227487683296204,
39,0.0,1.0,79,,,
39,,,79,0.8111110925674438,0.3714527189731598,
40,0.0,1.0,81,,,
40,,,81,0.8777777552604675,0.33694520592689514,
41,0.0,1.0,83,,,
41,,,83,0.8333333134651184,0.3582615256309509,
42,0.0,1.0,85,,,
42,,,85,0.8888888955116272,0.309692919254303,
43,0.0,1.0,87,,,
43,,,87,0.8444444537162781,0.3228570222854614,
44,0.0,1.0,89,,,
44,,,89,0.8111110925674438,0.356190025806427,
45,0.0,1.0,91,,,
45,,,91,0.8333333134651184,0.31899169087409973,
46,0.0,1.0,93,,,
46,,,93,0.8333333134651184,0.33784133195877075,
47,0.0,1.0,95,,,
47,,,95,0.7777777910232544,0.41976749897003174,
48,0.0,1.0,97,,,
48,,,97,0.8444444537162781,0.3472277820110321,
49,0.0,1.0,99,,,
49,,,99,0.8444444537162781,0.33551648259162903,
50,0.0,1.0,101,,,
50,,,101,0.800000011920929,0.40260183811187744,
51,0.0,1.0,103,,,
51,,,103,0.8444444537162781,0.3267516791820526,
52,0.0,1.0,105,,,
52,,,105,0.8444444537162781,0.33013802766799927,
53,0.0,1.0,107,,,
53,,,107,0.8222222328186035,0.3571423292160034,
54,0.0,1.0,109,,,
54,,,109,0.800000011920929,0.3504583537578583,
55,0.0,1.0,111,,,
55,,,111,0.8111110925674438,0.39499419927597046,
56,0.0,1.0,113,,,
56,,,113,0.8444444537162781,0.3855753242969513,
57,0.0,1.0,115,,,
57,,,115,0.8111110925674438,0.36859896779060364,
58,0.0,1.0,117,,,
58,,,117,0.855555534362793,0.3663810193538666,
59,0.0,1.0,119,,,
59,,,119,0.8111110925674438,0.37198930978775024,
60,0.0,1.0,121,,,
60,,,121,0.8333333134651184,0.3240504562854767,
61,0.0,1.0,123,,,
61,,,123,0.8222222328186035,0.3578047752380371,
62,0.0,1.0,125,,,
62,,,125,0.8222222328186035,0.37566322088241577,
63,0.0,1.0,127,,,
63,,,127,0.7222222089767456,0.493234246969223,
64,0.0,1.0,129,,,
64,,,129,0.855555534362793,0.32159116864204407,
