val_loss,val_acc,epoch,step,train_loss,train_acc,test_acc
0.8971604108810425,0.0,0,1,,,
,,0,1,0.6806554198265076,0.5444444417953491,
0.5688197016716003,0.9777777791023254,1,3,,,
,,1,3,0.6744873523712158,0.6111111044883728,
0.35427477955818176,1.0,2,5,,,
,,2,5,0.6007590293884277,0.7555555701255798,
0.1516435593366623,1.0,3,7,,,
,,3,7,0.5506188273429871,0.7666666507720947,
0.03951694071292877,1.0,4,9,,,
,,4,9,0.5112857222557068,0.7666666507720947,
0.009089276194572449,1.0,5,11,,,
,,5,11,0.48841068148612976,0.7777777910232544,
0.0015033601084724069,1.0,6,13,,,
,,6,13,0.45398765802383423,0.7888888716697693,
0.0009147715172730386,1.0,7,15,,,
,,7,15,0.44280239939689636,0.8333333134651184,
0.00016084274102468044,1.0,8,17,,,
,,8,17,0.4488310217857361,0.7888888716697693,
6.192376895342022e-05,1.0,9,19,,,
,,9,19,0.44332003593444824,0.800000011920929,
4.2985877371393144e-05,1.0,10,21,,,
,,10,21,0.4295330047607422,0.7777777910232544,
1.2296779459575191e-05,1.0,11,23,,,
,,11,23,0.47845709323883057,0.7888888716697693,
5.9047547438240144e-06,1.0,12,25,,,
,,12,25,0.4437919557094574,0.7888888716697693,
3.0172975584719097e-06,1.0,13,27,,,
,,13,27,0.40110862255096436,0.8111110925674438,
6.039927029632963e-07,1.0,14,29,,,
,,14,29,0.4266168773174286,0.7888888716697693,
5.854491860191047e-07,1.0,15,31,,,
,,15,31,0.45100292563438416,0.7555555701255798,
4.2120558418901055e-07,1.0,16,33,,,
,,16,33,0.39103418588638306,0.800000011920929,
1.2980561336917162e-07,1.0,17,35,,,
,,17,35,0.42926761507987976,0.7555555701255798,
9.271830947454873e-08,1.0,18,37,,,
,,18,37,0.4157898724079132,0.7888888716697693,
3.1789138432714026e-08,1.0,19,39,,,
,,19,39,0.37980902194976807,0.8111110925674438,
1.3245474939083124e-08,1.0,20,41,,,
,,20,41,0.4209114909172058,0.7333333492279053,
2.119275954726163e-08,1.0,21,43,,,
,,21,43,0.3891166150569916,0.8333333134651184,
7.947285496356926e-09,1.0,22,45,,,
,,22,45,0.40688467025756836,0.7888888716697693,
0.0,1.0,23,47,,,
,,23,47,0.3898046314716339,0.800000011920929,
2.6490951654523087e-09,1.0,24,49,,,
,,24,49,0.4398843050003052,0.7333333492279053,
2.6490951654523087e-09,1.0,25,51,,,
,,25,51,0.3563016653060913,0.855555534362793,
0.0,1.0,26,53,,,
,,26,53,0.38401201367378235,0.7888888716697693,
0.0,1.0,27,55,,,
,,27,55,0.36815178394317627,0.8333333134651184,
0.0,1.0,28,57,,,
,,28,57,0.3819187581539154,0.8111110925674438,
0.0,1.0,29,59,,,
