val_acc,epoch,val_loss,step,train_acc,train_loss,test_acc
,30,,61,0.8333333134651184,0.36453133821487427,
1.0,31,0.0,63,,,
,31,,63,0.8111110925674438,0.37810829281806946,
1.0,32,0.0,65,,,
,32,,65,0.7666666507720947,0.4124518632888794,
1.0,33,0.0,67,,,
,33,,67,0.8111110925674438,0.40853872895240784,
1.0,34,0.0,69,,,
,34,,69,0.8222222328186035,0.3528461456298828,
1.0,35,0.0,71,,,
,35,,71,0.8999999761581421,0.33718743920326233,
1.0,36,0.0,73,,,
,36,,73,0.8111110925674438,0.3935512900352478,
1.0,37,0.0,75,,,
,37,,75,0.8222222328186035,0.3497037887573242,
1.0,38,0.0,77,,,
,38,,77,0.800000011920929,0.3933289349079132,
1.0,39,0.0,79,,,
,39,,79,0.8111110925674438,0.36400070786476135,
1.0,40,0.0,81,,,
,40,,81,0.8666666746139526,0.33570152521133423,
1.0,41,0.0,83,,,
,41,,83,0.8666666746139526,0.3411448895931244,
1.0,42,0.0,85,,,
,42,,85,0.8666666746139526,0.3317286968231201,
1.0,43,0.0,87,,,
,43,,87,0.8666666746139526,0.31524649262428284,
1.0,44,0.0,89,,,
,44,,89,0.8222222328186035,0.37340936064720154,
1.0,45,0.0,91,,,
,45,,91,0.8333333134651184,0.33477479219436646,
1.0,46,0.0,93,,,
,46,,93,0.855555534362793,0.34099695086479187,
1.0,47,0.0,95,,,
,47,,95,0.800000011920929,0.43009454011917114,
1.0,48,0.0,97,,,
,48,,97,0.8222222328186035,0.3498234152793884,
1.0,49,0.0,99,,,
,49,,99,0.8666666746139526,0.34033599495887756,
1.0,50,0.0,101,,,
,50,,101,0.8111110925674438,0.38492199778556824,
1.0,51,0.0,103,,,
,51,,103,0.8222222328186035,0.33024224638938904,
1.0,52,0.0,105,,,
,52,,105,0.8333333134651184,0.3214763104915619,
1.0,53,0.0,107,,,
,53,,107,0.8333333134651184,0.3530735969543457,
1.0,54,0.0,109,,,
,54,,109,0.8111110925674438,0.34215980768203735,
1.0,55,0.0,111,,,
,55,,111,0.8333333134651184,0.3716113269329071,
1.0,56,0.0,113,,,
,56,,113,0.8666666746139526,0.36786219477653503,
1.0,57,0.0,115,,,
,57,,115,0.8444444537162781,0.3564780354499817,
1.0,58,0.0,117,,,
,58,,117,0.855555534362793,0.34317290782928467,
1.0,59,0.0,119,,,
,59,,119,0.8111110925674438,0.3734462261199951,
1.0,60,0.0,121,,,
,60,,121,0.8222222328186035,0.3325503468513489,
1.0,61,0.0,123,,,
,61,,123,0.8222222328186035,0.347497820854187,
1.0,62,0.0,125,,,
,62,,125,0.8111110925674438,0.3905869424343109,
1.0,63,0.0,127,,,
,63,,127,0.7555555701255798,0.4693300127983093,
1.0,64,0.0,129,,,
,64,,129,0.855555534362793,0.3379657566547394,
1.0,65,0.0,131,,,
,65,,131,0.8111110925674438,0.3596067726612091,
1.0,66,0.0,133,,,
,66,,133,0.8444444537162781,0.3290765583515167,
1.0,67,0.0,135,,,
,67,,135,0.8333333134651184,0.34993472695350647,
1.0,68,0.0,137,,,
,68,,137,0.8444444537162781,0.33406147360801697,
1.0,69,0.0,139,,,
,69,,139,0.8666666746139526,0.32504576444625854,
1.0,70,0.0,141,,,
,70,,141,0.8333333134651184,0.33624687790870667,
1.0,71,0.0,143,,,
,71,,143,0.8333333134651184,0.3472461402416229,
1.0,72,0.0,145,,,
