epoch,val_loss,val_acc,step,train_acc,train_loss,test_acc
0,0.7127131223678589,0.644444465637207,1,,,
0,,,1,0.5111111402511597,0.6723597645759583,
1,0.6902786493301392,0.644444465637207,3,,,
1,,,3,0.699999988079071,0.6524859666824341,
2,0.6728054285049438,0.644444465637207,5,,,
2,,,5,0.699999988079071,0.643903374671936,
3,0.667244017124176,0.644444465637207,7,,,
3,,,7,0.699999988079071,0.6145749688148499,
4,0.6505231857299805,0.644444465637207,9,,,
4,,,9,0.699999988079071,0.6201404333114624,
5,0.6456344723701477,0.644444465637207,11,,,
5,,,11,0.699999988079071,0.6198299527168274,
6,0.6433039307594299,0.644444465637207,13,,,
6,,,13,0.699999988079071,0.6091170907020569,
7,0.6428577899932861,0.644444465637207,15,,,
7,,,15,0.699999988079071,0.594818651676178,
8,0.6448696851730347,0.644444465637207,17,,,
8,,,17,0.699999988079071,0.6112486124038696,
9,0.6522278785705566,0.644444465637207,19,,,
9,,,19,0.699999988079071,0.6113755702972412,
10,0.6645781397819519,0.644444465637207,21,,,
10,,,21,0.699999988079071,0.6220458745956421,
11,0.6590847373008728,0.644444465637207,23,,,
11,,,23,0.699999988079071,0.6327874064445496,
12,0.6550183296203613,0.644444465637207,25,,,
12,,,25,0.699999988079071,0.6272234320640564,
13,0.649248480796814,0.644444465637207,27,,,
13,,,27,0.699999988079071,0.6012270450592041,
14,0.6300058960914612,0.644444465637207,29,,,
14,,,29,0.699999988079071,0.6123457551002502,
15,0.6261619925498962,0.6666666865348816,31,,,
15,,,31,0.7111111283302307,0.6114468574523926,
16,0.6253567934036255,0.644444465637207,33,,,
16,,,33,0.7333333492279053,0.6005510687828064,
17,0.6325926184654236,0.644444465637207,35,,,
17,,,35,0.699999988079071,0.6053070425987244,
18,0.6505354046821594,0.644444465637207,37,,,
18,,,37,0.7111111283302307,0.5806592106819153,
19,0.6403588056564331,0.644444465637207,39,,,
19,,,39,0.699999988079071,0.6072549819946289,
20,0.6203468441963196,0.644444465637207,41,,,
20,,,41,0.699999988079071,0.5915187001228333,
21,0.6147400736808777,0.6888889074325562,43,,,
21,,,43,0.7222222089767456,0.6244475245475769,
22,0.6224325299263,0.644444465637207,45,,,
22,,,45,0.7333333492279053,0.5898007750511169,
23,0.632777214050293,0.644444465637207,47,,,
23,,,47,0.699999988079071,0.5939009189605713,
24,0.6304193139076233,0.644444465637207,49,,,
24,,,49,0.699999988079071,0.5928688049316406,
25,0.6175910234451294,0.6666666865348816,51,,,
25,,,51,0.699999988079071,0.5827775597572327,
26,0.6110481023788452,0.6666666865348816,53,,,
26,,,53,0.7111111283302307,0.5855270624160767,
27,0.6036185026168823,0.6888889074325562,55,,,
27,,,55,0.7333333492279053,0.5853996276855469,
28,0.5934415459632874,0.7111111283302307,57,,,
28,,,57,0.7111111283302307,0.5740436315536499,
29,0.5870158672332764,0.7333333492279053,59,,,
29,,,59,0.7444444298744202,0.577734112739563,
30,0.581645131111145,0.7111111283302307,61,,,
30,,,61,0.7777777910232544,0.5743733644485474,
31,0.5923963785171509,0.6888889074325562,63,,,
31,,,63,0.7444444298744202,0.5798271894454956,
32,0.5683481693267822,0.7333333492279053,65,,,
32,,,65,0.7444444298744202,0.5409556031227112,
33,0.5637735724449158,0.7111111283302307,67,,,
33,,,67,0.7666666507720947,0.5595159530639648,
34,0.5717258453369141,0.6888889074325562,69,,,
34,,,69,0.7555555701255798,0.5267947316169739,
35,0.5624760389328003,0.6888889074325562,71,,,
35,,,71,0.7444444298744202,0.5319312214851379,
36,0.5455010533332825,0.7777777910232544,73,,,
36,,,73,0.7444444298744202,0.5612215995788574,
37,0.5382884740829468,0.7777777910232544,75,,,
37,,,75,0.7888888716697693,0.5079027414321899,
38,0.6057945489883423,0.6666666865348816,77,,,
38,,,77,0.7222222089767456,0.546286940574646,
39,0.5677766799926758,0.6666666865348816,79,,,
39,,,79,0.7222222089767456,0.5383437275886536,
40,0.5226880311965942,0.7555555701255798,81,,,
40,,,81,0.7666666507720947,0.5090124011039734,
41,0.5203351378440857,0.7111111283302307,83,,,
41,,,83,0.7555555701255798,0.4931502938270569,
42,0.5033926367759705,0.7777777910232544,85,,,
42,,,85,0.7666666507720947,0.4480213224887848,
43,0.5438441634178162,0.6666666865348816,87,,,
43,,,87,0.7777777910232544,0.4688189625740051,
44,0.4970695376396179,0.7555555701255798,89,,,
44,,,89,0.7444444298744202,0.4746343791484833,
45,0.4935850501060486,0.7555555701255798,91,,,
45,,,91,0.8111110925674438,0.47159838676452637,
46,0.5373044610023499,0.7111111283302307,93,,,
46,,,93,0.8222222328186035,0.44659125804901123,
47,0.46979114413261414,0.7333333492279053,95,,,
47,,,95,0.7777777910232544,0.4937756359577179,
48,0.4805779755115509,0.7555555701255798,97,,,
48,,,97,0.800000011920929,0.47699618339538574,
49,0.45129305124282837,0.7777777910232544,99,,,
49,,,99,0.7666666507720947,0.4418022036552429,
50,0.5080975294113159,0.7555555701255798,101,,,
50,,,101,0.7333333492279053,0.5277454853057861,
51,0.57587730884552,0.6888889074325562,103,,,
51,,,103,0.800000011920929,0.47572535276412964,
52,0.4824240803718567,0.7111111283302307,105,,,
52,,,105,0.7666666507720947,0.46125292778015137,
53,0.4749048054218292,0.7555555701255798,107,,,
53,,,107,0.7333333492279053,0.49784818291664124,
54,0.570347249507904,0.6888889074325562,109,,,
54,,,109,0.7777777910232544,0.45823660492897034,
55,0.4614543914794922,0.800000011920929,111,,,
55,,,111,0.7666666507720947,0.5012516379356384,
56,0.4628506600856781,0.7777777910232544,113,,,
56,,,113,0.800000011920929,0.43340861797332764,
57,0.48825904726982117,0.7555555701255798,115,,,
57,,,115,0.7555555701255798,0.46116840839385986,
58,0.45570245385169983,0.7555555701255798,117,,,
58,,,117,0.8111110925674438,0.435210257768631,
59,0.49499714374542236,0.7333333492279053,119,,,
59,,,119,0.7888888716697693,0.478271484375,
60,0.5477089881896973,0.7111111283302307,121,,,
60,,,121,0.7777777910232544,0.4496665596961975,
61,0.44315457344055176,0.8222222328186035,123,,,
61,,,123,0.8111110925674438,0.39101269841194153,
62,0.4402284324169159,0.7777777910232544,125,,,
62,,,125,0.7555555701255798,0.47299593687057495,
63,0.5228368639945984,0.7333333492279053,127,,,
63,,,127,0.7555555701255798,0.5171167850494385,
64,0.4458811581134796,0.7777777910232544,129,,,
64,,,129,0.8111110925674438,0.44166556000709534,
65,0.4559192359447479,0.7555555701255798,131,,,
65,,,131,0.7777777910232544,0.4661685526371002,
66,0.5197518467903137,0.7333333492279053,133,,,
66,,,133,0.800000011920929,0.4285892844200134,
67,0.5067030787467957,0.7555555701255798,135,,,
67,,,135,0.8111110925674438,0.44478175044059753,
68,0.44685226678848267,0.7777777910232544,137,,,
68,,,137,0.800000011920929,0.41373544931411743,
69,0.4450099468231201,0.7777777910232544,139,,,
69,,,139,0.7333333492279053,0.43561169505119324,
70,0.48710063099861145,0.7555555701255798,141,,,
70,,,141,0.8111110925674438,0.41710907220840454,
71,0.46382877230644226,0.7777777910232544,143,,,
71,,,143,0.8111110925674438,0.4224959909915924,
72,0.44696858525276184,0.7555555701255798,145,,,
72,,,145,0.8222222328186035,0.4704522490501404,
73,0.468680739402771,0.7777777910232544,147,,,
73,,,147,0.800000011920929,0.4052545428276062,
74,0.514984667301178,0.7333333492279053,149,,,
74,,,149,0.7666666507720947,0.40192073583602905,
75,0.44875141978263855,0.7777777910232544,151,,,
75,,,151,0.800000011920929,0.4319669008255005,
76,0.4479282796382904,0.7333333492279053,153,,,
76,,,153,0.7666666507720947,0.4258003234863281,
77,0.4682895243167877,0.7777777910232544,155,,,
77,,,155,0.8111110925674438,0.39175063371658325,
78,0.5055899024009705,0.7777777910232544,157,,,
78,,,157,0.7777777910232544,0.41332313418388367,
79,0.4412328004837036,0.7777777910232544,159,,,
79,,,159,0.7777777910232544,0.45990127325057983,
80,0.44051411747932434,0.7777777910232544,161,,,
80,,,161,0.7888888716697693,0.45138558745384216,
81,0.4982237219810486,0.7777777910232544,163,,,
81,,,163,0.8111110925674438,0.3873610198497772,
82,0.45139676332473755,0.7777777910232544,165,,,
82,,,165,0.8111110925674438,0.43979281187057495,
83,0.4591686725616455,0.7333333492279053,167,,,
83,,,167,0.8222222328186035,0.4212402403354645,
84,0.43586963415145874,0.7777777910232544,169,,,
84,,,169,0.7444444298744202,0.4654325842857361,
85,0.47472530603408813,0.7777777910232544,171,,,
85,,,171,0.8222222328186035,0.42419034242630005,
86,0.4361925721168518,0.7333333492279053,173,,,
86,,,173,0.8111110925674438,0.434018611907959,
87,0.44181302189826965,0.7333333492279053,175,,,
87,,,175,0.800000011920929,0.4186735451221466,
88,0.46430155634880066,0.800000011920929,177,,,
88,,,177,0.7555555701255798,0.46247515082359314,
89,0.44532859325408936,0.7777777910232544,179,,,
89,,,179,0.800000011920929,0.49706289172172546,
90,0.44689419865608215,0.7111111283302307,181,,,
90,,,181,0.8111110925674438,0.4352647662162781,
91,0.4496908485889435,0.800000011920929,183,,,
91,,,183,0.800000011920929,0.4221896827220917,
92,0.4717274606227875,0.7777777910232544,185,,,
92,,,185,0.800000011920929,0.4089462161064148,
93,0.4354778826236725,0.7555555701255798,187,,,
93,,,187,0.800000011920929,0.4167630076408386,
94,0.4393830895423889,0.7777777910232544,189,,,
94,,,189,0.7888888716697693,0.4864555895328522,
95,0.6124649047851562,0.6888889074325562,191,,,
95,,,191,0.8222222328186035,0.40555310249328613,
96,0.459012508392334,0.7777777910232544,193,,,
96,,,193,0.7555555701255798,0.5166459083557129,
97,0.46201834082603455,0.7555555701255798,195,,,
97,,,195,0.7666666507720947,0.4415389895439148,
98,0.453414648771286,0.7777777910232544,197,,,
98,,,197,0.8111110925674438,0.418515145778656,
99,0.5968342423439026,0.6888889074325562,199,,,
99,,,199,0.8222222328186035,0.4409187436103821,
100,0.4462008476257324,0.7777777910232544,201,,,
100,,,201,0.7888888716697693,0.47304999828338623,
101,0.4625106751918793,0.7111111283302307,203,,,
101,,,203,0.7777777910232544,0.40672674775123596,
102,0.4391366243362427,0.7555555701255798,205,,,
102,,,205,0.7111111283302307,0.4781911075115204,
103,0.5954016447067261,0.6888889074325562,207,,,
103,,,207,0.800000011920929,0.4152928590774536,
104,0.5030401945114136,0.7777777910232544,209,,,
104,,,209,0.7777777910232544,0.482538640499115,
105,0.4589061737060547,0.7333333492279053,211,,,
105,,,211,0.8111110925674438,0.43480169773101807,
106,0.4471948444843292,0.7333333492279053,213,,,
106,,,213,0.8333333134651184,0.4467674195766449,
107,0.5360171794891357,0.7111111283302307,215,,,
107,,,215,0.8111110925674438,0.42169612646102905,
108,0.4842739403247833,0.7777777910232544,217,,,
108,,,217,0.7888888716697693,0.47228050231933594,
109,0.4534202516078949,0.7333333492279053,219,,,
109,,,219,0.8111110925674438,0.4053860008716583,
110,0.44616571068763733,0.7555555701255798,221,,,
110,,,221,0.8111110925674438,0.4316067099571228,
111,0.4774390459060669,0.7777777910232544,223,,,
111,,,223,0.8333333134651184,0.4304661154747009,
112,0.5015122890472412,0.7555555701255798,225,,,
112,,,225,0.8111110925674438,0.4083872139453888,
113,0.44970473647117615,0.7777777910232544,227,,,
113,,,227,0.8111110925674438,0.41419920325279236,
114,0.43883082270622253,0.7777777910232544,229,,,
114,,,229,0.8444444537162781,0.38503527641296387,
115,0.4555114805698395,0.7777777910232544,231,,,
115,,,231,0.8333333134651184,0.4113394021987915,
116,0.46309784054756165,0.7777777910232544,233,,,
116,,,233,0.8333333134651184,0.4113866984844208,
117,0.44417378306388855,0.800000011920929,235,,,
117,,,235,0.8444444537162781,0.37117305397987366,
118,0.4442176818847656,0.7777777910232544,237,,,
118,,,237,0.800000011920929,0.39905112981796265,
119,0.4371166527271271,0.7777777910232544,239,,,
119,,,239,0.8111110925674438,0.3968193531036377,
120,0.4445747435092926,0.7777777910232544,241,,,
120,,,241,0.8222222328186035,0.3854476511478424,
121,0.46213725209236145,0.7777777910232544,243,,,
121,,,243,0.8222222328186035,0.4219490885734558,
122,0.4326708912849426,0.7777777910232544,245,,,
122,,,245,0.800000011920929,0.38874757289886475,
123,0.4373359978199005,0.7555555701255798,247,,,
123,,,247,0.800000011920929,0.413982093334198,
124,0.44833025336265564,0.7777777910232544,249,,,
124,,,249,0.8111110925674438,0.4267636239528656,
125,0.48805567622184753,0.7777777910232544,251,,,
125,,,251,0.8222222328186035,0.3969041705131531,
126,0.44283756613731384,0.800000011920929,253,,,
126,,,253,0.800000011920929,0.4255819022655487,
127,0.4317187964916229,0.7777777910232544,255,,,
127,,,255,0.8222222328186035,0.3643960654735565,
128,0.4347971975803375,0.7777777910232544,257,,,
128,,,257,0.800000011920929,0.42927563190460205,
129,0.4440605938434601,0.7777777910232544,259,,,
129,,,259,0.8222222328186035,0.3642134368419647,
130,0.44100892543792725,0.7777777910232544,261,,,
130,,,261,0.8333333134651184,0.3891158998012543,
131,0.4462929666042328,0.7777777910232544,263,,,
131,,,263,0.855555534362793,0.3766566812992096,
132,0.5366290807723999,0.7555555701255798,265,,,
132,,,265,0.7888888716697693,0.4116396903991699,
133,0.49224284291267395,0.7777777910232544,267,,,
133,,,267,0.8222222328186035,0.43486934900283813,
134,0.4596249759197235,0.7111111283302307,269,,,
134,,,269,0.8111110925674438,0.40043768286705017,
135,0.44490766525268555,0.7333333492279053,271,,,
135,,,271,0.800000011920929,0.4747959077358246,
136,0.6186383962631226,0.7111111283302307,273,,,
136,,,273,0.800000011920929,0.3882691264152527,
137,0.5615663528442383,0.7555555701255798,275,,,
137,,,275,0.7777777910232544,0.5113583207130432,
138,0.44223883748054504,0.7333333492279053,277,,,
138,,,277,0.8444444537162781,0.3925009071826935,
139,0.45843082666397095,0.7333333492279053,279,,,
139,,,279,0.7777777910232544,0.42665091156959534,
140,0.46932414174079895,0.7777777910232544,281,,,
140,,,281,0.7888888716697693,0.4500625729560852,
141,0.501444935798645,0.7777777910232544,283,,,
141,,,283,0.8444444537162781,0.38630935549736023,
142,0.43436846137046814,0.7777777910232544,285,,,
142,,,285,0.800000011920929,0.43556687235832214,
143,0.43730247020721436,0.7777777910232544,287,,,
143,,,287,0.8333333134651184,0.42132246494293213,
144,0.44421398639678955,0.800000011920929,289,,,
144,,,289,0.7888888716697693,0.40299633145332336,
145,0.4827196002006531,0.7777777910232544,291,,,
145,,,291,0.8222222328186035,0.39199143648147583,
146,0.4676010012626648,0.7777777910232544,293,,,
146,,,293,0.8111110925674438,0.39842689037323,
