step,epoch,val_loss,val_acc,train_loss,train_acc,test_acc
51,25,,,0.35822877287864685,0.8777777552604675,
53,26,0.0,1.0,,,
53,26,,,0.3881549537181854,0.7888888716697693,
55,27,0.0,1.0,,,
55,27,,,0.37542423605918884,0.800000011920929,
57,28,0.0,1.0,,,
57,28,,,0.38857442140579224,0.7888888716697693,
59,29,0.0,1.0,,,
59,29,,,0.3571256995201111,0.8333333134651184,
61,30,0.0,1.0,,,
61,30,,,0.36161455512046814,0.8333333134651184,
63,31,0.0,1.0,,,
63,31,,,0.37981945276260376,0.8111110925674438,
65,32,0.0,1.0,,,
65,32,,,0.41697683930397034,0.7777777910232544,
67,33,0.0,1.0,,,
67,33,,,0.4143575429916382,0.7888888716697693,
69,34,0.0,1.0,,,
69,34,,,0.35736212134361267,0.8222222328186035,
71,35,0.0,1.0,,,
71,35,,,0.34640786051750183,0.8999999761581421,
73,36,0.0,1.0,,,
73,36,,,0.396352082490921,0.8111110925674438,
75,37,0.0,1.0,,,
75,37,,,0.3485436737537384,0.8333333134651184,
77,38,0.0,1.0,,,
77,38,,,0.4039519131183624,0.8111110925674438,
79,39,0.0,1.0,,,
79,39,,,0.365409255027771,0.8111110925674438,
81,40,0.0,1.0,,,
81,40,,,0.35111841559410095,0.855555534362793,
83,41,0.0,1.0,,,
83,41,,,0.35162612795829773,0.8444444537162781,
85,42,0.0,1.0,,,
85,42,,,0.33762186765670776,0.8666666746139526,
87,43,0.0,1.0,,,
87,43,,,0.32332146167755127,0.8444444537162781,
89,44,0.0,1.0,,,
89,44,,,0.381816029548645,0.8111110925674438,
91,45,0.0,1.0,,,
91,45,,,0.3271859884262085,0.8333333134651184,
93,46,0.0,1.0,,,
93,46,,,0.33248287439346313,0.8444444537162781,
95,47,0.0,1.0,,,
95,47,,,0.4241544008255005,0.8222222328186035,
97,48,0.0,1.0,,,
97,48,,,0.35573968291282654,0.8333333134651184,
99,49,0.0,1.0,,,
99,49,,,0.34358519315719604,0.8444444537162781,
101,50,0.0,1.0,,,
101,50,,,0.3788372874259949,0.8333333134651184,
103,51,0.0,1.0,,,
103,51,,,0.325307697057724,0.8222222328186035,
105,52,0.0,1.0,,,
105,52,,,0.32092809677124023,0.8444444537162781,
107,53,0.0,1.0,,,
107,53,,,0.3554285764694214,0.800000011920929,
109,54,0.0,1.0,,,
109,54,,,0.3492133617401123,0.8222222328186035,
111,55,0.0,1.0,,,
111,55,,,0.378232479095459,0.8333333134651184,
113,56,0.0,1.0,,,
