val_loss,val_acc,epoch,step,train_loss,train_acc,test_acc
0.7127131223678589,0.644444465637207,0,1,,,
,,0,1,0.6723597645759583,0.5111111402511597,
0.6902786493301392,0.644444465637207,1,3,,,
,,1,3,0.6524859666824341,0.699999988079071,
0.6728054285049438,0.644444465637207,2,5,,,
,,2,5,0.643903374671936,0.699999988079071,
0.667244017124176,0.644444465637207,3,7,,,
,,3,7,0.6145749688148499,0.699999988079071,
0.6505231857299805,0.644444465637207,4,9,,,
,,4,9,0.6201404333114624,0.699999988079071,
0.6456344723701477,0.644444465637207,5,11,,,
,,5,11,0.6198299527168274,0.699999988079071,
0.6433039307594299,0.644444465637207,6,13,,,
,,6,13,0.6091171503067017,0.699999988079071,
0.6428577899932861,0.644444465637207,7,15,,,
,,7,15,0.594818651676178,0.699999988079071,
0.6448696851730347,0.644444465637207,8,17,,,
,,8,17,0.6112486124038696,0.699999988079071,
0.6522278785705566,0.644444465637207,9,19,,,
,,9,19,0.6113755702972412,0.699999988079071,
0.6645781397819519,0.644444465637207,10,21,,,
,,10,21,0.6220458745956421,0.699999988079071,
0.6590847373008728,0.644444465637207,11,23,,,
,,11,23,0.6327874660491943,0.699999988079071,
0.6550182700157166,0.644444465637207,12,25,,,
,,12,25,0.6272234320640564,0.699999988079071,
0.6492484211921692,0.644444465637207,13,27,,,
,,13,27,0.6012269258499146,0.699999988079071,
0.6300058960914612,0.644444465637207,14,29,,,
,,14,29,0.6123456954956055,0.699999988079071,
0.6261619925498962,0.6666666865348816,15,31,,,
,,15,31,0.6114469170570374,0.7111111283302307,
0.6253567934036255,0.644444465637207,16,33,,,
,,16,33,0.6005510687828064,0.7333333492279053,
0.6325926184654236,0.644444465637207,17,35,,,
,,17,35,0.6053070425987244,0.699999988079071,
0.6505354046821594,0.644444465637207,18,37,,,
,,18,37,0.5806592106819153,0.7111111283302307,
0.6403588056564331,0.644444465637207,19,39,,,
,,19,39,0.6072549819946289,0.699999988079071,
0.6203468441963196,0.644444465637207,20,41,,,
,,20,41,0.5915187001228333,0.699999988079071,
0.6147400736808777,0.6888889074325562,21,43,,,
,,21,43,0.6244475245475769,0.7222222089767456,
0.6224325299263,0.644444465637207,22,45,,,
,,22,45,0.5898007750511169,0.7333333492279053,
0.6327772736549377,0.644444465637207,23,47,,,
,,23,47,0.5939009189605713,0.699999988079071,
0.6304192543029785,0.644444465637207,24,49,,,
,,24,49,0.5928688049316406,0.699999988079071,
0.6175909042358398,0.6666666865348816,25,51,,,
,,25,51,0.5827775001525879,0.699999988079071,
0.6110481023788452,0.6666666865348816,26,53,,,
,,26,53,0.5855270028114319,0.7111111283302307,
0.6036185026168823,0.6888889074325562,27,55,,,
,,27,55,0.5853996276855469,0.7333333492279053,
0.5934415459632874,0.7111111283302307,28,57,,,
,,28,57,0.5740436315536499,0.7111111283302307,
0.5870158076286316,0.7333333492279053,29,59,,,
,,29,59,0.577734112739563,0.7444444298744202,
0.581645131111145,0.7111111283302307,30,61,,,
,,30,61,0.5743734836578369,0.7777777910232544,
0.5923963785171509,0.6888889074325562,31,63,,,
,,31,63,0.5798271894454956,0.7444444298744202,
0.5683481693267822,0.7333333492279053,32,65,,,
,,32,65,0.5409555435180664,0.7444444298744202,
0.5637735724449158,0.7111111283302307,33,67,,,
,,33,67,0.5595159530639648,0.7666666507720947,
0.5717258453369141,0.6888889074325562,34,69,,,
,,34,69,0.5267947316169739,0.7555555701255798,
0.5624760389328003,0.6888889074325562,35,71,,,
,,35,71,0.5319311618804932,0.7444444298744202,
0.5455010533332825,0.7777777910232544,36,73,,,
,,36,73,0.5612215995788574,0.7444444298744202,
0.5382884740829468,0.7777777910232544,37,75,,,
,,37,75,0.5079026818275452,0.7888888716697693,
0.6057945489883423,0.6666666865348816,38,77,,,
,,38,77,0.5462870001792908,0.7222222089767456,
0.5677766799926758,0.6666666865348816,39,79,,,
,,39,79,0.5383437275886536,0.7222222089767456,
0.5226880311965942,0.7555555701255798,40,81,,,
,,40,81,0.5090124011039734,0.7666666507720947,
0.5203351378440857,0.7111111283302307,41,83,,,
,,41,83,0.4931502342224121,0.7555555701255798,
0.5033926367759705,0.7777777910232544,42,85,,,
,,42,85,0.44802126288414,0.7666666507720947,
0.5438441634178162,0.6666666865348816,43,87,,,
,,43,87,0.46881893277168274,0.7777777910232544,
0.4970695376396179,0.7555555701255798,44,89,,,
,,44,89,0.4746342897415161,0.7444444298744202,
0.4935850501060486,0.7555555701255798,45,91,,,
,,45,91,0.4715982973575592,0.8111110925674438,
0.5373044013977051,0.7111111283302307,46,93,,,
,,46,93,0.44659125804901123,0.8222222328186035,
0.46979108452796936,0.7333333492279053,47,95,,,
,,47,95,0.4937756061553955,0.7777777910232544,
0.4805780053138733,0.7555555701255798,48,97,,,
,,48,97,0.47699615359306335,0.800000011920929,
0.45129305124282837,0.7777777910232544,49,99,,,
,,49,99,0.44180217385292053,0.7666666507720947,
0.5080975890159607,0.7555555701255798,50,101,,,
,,50,101,0.5277454853057861,0.7333333492279053,
0.5758774876594543,0.6888889074325562,51,103,,,
,,51,103,0.4757254719734192,0.800000011920929,
0.48242416977882385,0.7111111283302307,52,105,,,
,,52,105,0.46125298738479614,0.7666666507720947,
0.4749048352241516,0.7555555701255798,53,107,,,
,,53,107,0.4978483021259308,0.7333333492279053,
0.5703473687171936,0.6888889074325562,54,109,,,
,,54,109,0.45823660492897034,0.7777777910232544,
0.4614543914794922,0.800000011920929,55,111,,,
,,55,111,0.501251757144928,0.7666666507720947,
0.4628506898880005,0.7777777910232544,56,113,,,
,,56,113,0.43340861797332764,0.800000011920929,
0.48825907707214355,0.7555555701255798,57,115,,,
,,57,115,0.461168497800827,0.7555555701255798,
0.4557025134563446,0.7555555701255798,58,117,,,
,,58,117,0.435210257768631,0.8111110925674438,
0.4949970245361328,0.7333333492279053,59,119,,,
,,59,119,0.478271484375,0.7888888716697693,
0.5477091073989868,0.7111111283302307,60,121,,,
,,60,121,0.44966650009155273,0.7777777910232544,
0.44315457344055176,0.8222222328186035,61,123,,,
,,61,123,0.3910128176212311,0.8111110925674438,
0.44022852182388306,0.7777777910232544,62,125,,,
,,62,125,0.47299593687057495,0.7555555701255798,
0.5228369235992432,0.7333333492279053,63,127,,,
,,63,127,0.517116904258728,0.7555555701255798,
0.44588106870651245,0.7777777910232544,64,129,,,
,,64,129,0.4416656196117401,0.8111110925674438,
0.4559192955493927,0.7555555701255798,65,131,,,
,,65,131,0.46616828441619873,0.7777777910232544,
0.5197514295578003,0.7333333492279053,66,133,,,
,,66,133,0.4285893738269806,0.800000011920929,
0.50670325756073,0.7555555701255798,67,135,,,
,,67,135,0.4447815716266632,0.8111110925674438,
0.44685226678848267,0.7777777910232544,68,137,,,
,,68,137,0.41373544931411743,0.800000011920929,
0.44500991702079773,0.7777777910232544,69,139,,,
,,69,139,0.4356115162372589,0.7333333492279053,
0.4871005713939667,0.7555555701255798,70,141,,,
,,70,141,0.41710907220840454,0.8111110925674438,
0.4638289213180542,0.7777777910232544,71,143,,,
,,71,143,0.42249596118927,0.8111110925674438,
0.44696858525276184,0.7555555701255798,72,145,,,
,,72,145,0.47045227885246277,0.8222222328186035,
0.46868056058883667,0.7777777910232544,73,147,,,
,,73,147,0.4052544832229614,0.800000011920929,
0.5149845480918884,0.7333333492279053,74,149,,,
,,74,149,0.4019206464290619,0.7666666507720947,
0.4487514793872833,0.7777777910232544,75,151,,,
,,75,151,0.4319669008255005,0.800000011920929,
0.4479282796382904,0.7333333492279053,76,153,,,
,,76,153,0.42580029368400574,0.7666666507720947,
0.46828940510749817,0.7777777910232544,77,155,,,
,,77,155,0.39175066351890564,0.8111110925674438,
0.5055900812149048,0.7777777910232544,78,157,,,
,,78,157,0.41332316398620605,0.7777777910232544,
0.4412328004837036,0.7777777910232544,79,159,,,
,,79,159,0.4599013328552246,0.7777777910232544,
0.44051411747932434,0.7777777910232544,80,161,,,
,,80,161,0.45138558745384216,0.7888888716697693,
0.49822378158569336,0.7777777910232544,81,163,,,
,,81,163,0.3873610496520996,0.8111110925674438,
0.4513969123363495,0.7777777910232544,82,165,,,
,,82,165,0.4397929012775421,0.8111110925674438,
0.45916876196861267,0.7333333492279053,83,167,,,
,,83,167,0.4212402403354645,0.8222222328186035,
0.43586960434913635,0.7777777910232544,84,169,,,
,,84,169,0.46543270349502563,0.7444444298744202,
0.4747254252433777,0.7777777910232544,85,171,,,
,,85,171,0.42419031262397766,0.8222222328186035,
0.4361925423145294,0.7333333492279053,86,173,,,
,,86,173,0.434018611907959,0.8111110925674438,
0.44181305170059204,0.7333333492279053,87,175,,,
,,87,175,0.41867348551750183,0.800000011920929,
0.4643016457557678,0.800000011920929,88,177,,,
,,88,177,0.4624752402305603,0.7555555701255798,
0.44532859325408936,0.7777777910232544,89,179,,,
,,89,179,0.49706295132637024,0.800000011920929,
0.44689422845840454,0.7111111283302307,90,181,,,
,,90,181,0.4352647066116333,0.8111110925674438,
0.4496907889842987,0.800000011920929,91,183,,,
,,91,183,0.42218971252441406,0.800000011920929,
0.47172749042510986,0.7777777910232544,92,185,,,
,,92,185,0.4089461863040924,0.800000011920929,
