val_loss,step,val_acc,epoch,train_acc,train_loss,test_acc
0.8971604108810425,1,0.0,0,,,
,1,,0,0.5444444417953491,0.6806554198265076,
0.5688197016716003,3,0.9777777791023254,1,,,
,3,,1,0.6111111044883728,0.6744873523712158,
0.35427477955818176,5,1.0,2,,,
,5,,2,0.7555555701255798,0.6007590293884277,
0.1516435444355011,7,1.0,3,,,
,7,,3,0.7666666507720947,0.5506188273429871,
0.03951694071292877,9,1.0,4,,,
,9,,4,0.7666666507720947,0.5112857222557068,
0.009089281782507896,11,1.0,5,,,
,11,,5,0.7777777910232544,0.48841068148612976,
0.0015033601084724069,13,1.0,6,,,
,13,,6,0.7888888716697693,0.45398765802383423,
0.0009147715172730386,15,1.0,7,,,
,15,,7,0.8333333134651184,0.44280239939689636,
0.00016084274102468044,17,1.0,8,,,
,17,,8,0.7888888716697693,0.4488310217857361,
6.192376895342022e-05,19,1.0,9,,,
,19,,9,0.800000011920929,0.443320095539093,
4.2985877371393144e-05,21,1.0,10,,,
,21,,10,0.7777777910232544,0.4295330345630646,
1.2296779459575191e-05,23,1.0,11,,,
,23,,11,0.7888888716697693,0.47845709323883057,
5.9047547438240144e-06,25,1.0,12,,,
,25,,12,0.7888888716697693,0.4437919557094574,
3.0172975584719097e-06,27,1.0,13,,,
,27,,13,0.8111110925674438,0.40110862255096436,
6.039927029632963e-07,29,1.0,14,,,
,29,,14,0.7888888716697693,0.4266168773174286,
5.854491860191047e-07,31,1.0,15,,,
,31,,15,0.7555555701255798,0.45100292563438416,
4.2120558418901055e-07,33,1.0,16,,,
,33,,16,0.800000011920929,0.39103418588638306,
1.2980561336917162e-07,35,1.0,17,,,
,35,,17,0.7555555701255798,0.42926761507987976,
9.271830947454873e-08,37,1.0,18,,,
,37,,18,0.7888888716697693,0.4157898724079132,
3.1789138432714026e-08,39,1.0,19,,,
,39,,19,0.8111110925674438,0.37980902194976807,
1.3245474939083124e-08,41,1.0,20,,,
,41,,20,0.7333333492279053,0.4209114909172058,
2.119275954726163e-08,43,1.0,21,,,
,43,,21,0.8333333134651184,0.3891165852546692,
7.947285496356926e-09,45,1.0,22,,,
,45,,22,0.7888888716697693,0.40688467025756836,
0.0,47,1.0,23,,,
,47,,23,0.800000011920929,0.3898046314716339,
2.6490951654523087e-09,49,1.0,24,,,
,49,,24,0.7333333492279053,0.4398842751979828,
2.6490951654523087e-09,51,1.0,25,,,
,51,,25,0.855555534362793,0.3563016653060913,
0.0,53,1.0,26,,,
,53,,26,0.7888888716697693,0.3840119540691376,
0.0,55,1.0,27,,,
,55,,27,0.8333333134651184,0.36815178394317627,
0.0,57,1.0,28,,,
,57,,28,0.8111110925674438,0.38191866874694824,
0.0,59,1.0,29,,,
,59,,29,0.8222222328186035,0.35505813360214233,
0.0,61,1.0,30,,,
,61,,30,0.8444444537162781,0.36014023423194885,
0.0,63,1.0,31,,,
,63,,31,0.8222222328186035,0.3947203755378723,
0.0,65,1.0,32,,,
,65,,32,0.7888888716697693,0.3891434669494629,
0.0,67,1.0,33,,,
,67,,33,0.800000011920929,0.40641075372695923,
0.0,69,1.0,34,,,
,69,,34,0.8222222328186035,0.3555963635444641,
0.0,71,1.0,35,,,
,71,,35,0.8777777552604675,0.33509987592697144,
0.0,73,1.0,36,,,
,73,,36,0.8222222328186035,0.39299875497817993,
0.0,75,1.0,37,,,
,75,,37,0.8444444537162781,0.34853824973106384,
0.0,77,1.0,38,,,
,77,,38,0.8111110925674438,0.40227487683296204,
0.0,79,1.0,39,,,
,79,,39,0.8111110925674438,0.371452659368515,
0.0,81,1.0,40,,,
,81,,40,0.8777777552604675,0.33694520592689514,
0.0,83,1.0,41,,,
,83,,41,0.8333333134651184,0.35826149582862854,
0.0,85,1.0,42,,,
,85,,42,0.8888888955116272,0.309692919254303,
0.0,87,1.0,43,,,
,87,,43,0.8444444537162781,0.3228570222854614,
0.0,89,1.0,44,,,
,89,,44,0.8111110925674438,0.356190025806427,
0.0,91,1.0,45,,,
,91,,45,0.8333333134651184,0.31899169087409973,
0.0,93,1.0,46,,,
,93,,46,0.8333333134651184,0.33784133195877075,
0.0,95,1.0,47,,,
,95,,47,0.7777777910232544,0.41976749897003174,
0.0,97,1.0,48,,,
,97,,48,0.8444444537162781,0.3472277820110321,
0.0,99,1.0,49,,,
,99,,49,0.8444444537162781,0.33551648259162903,
0.0,101,1.0,50,,,
,101,,50,0.800000011920929,0.40260177850723267,
0.0,103,1.0,51,,,
,103,,51,0.8444444537162781,0.3267516493797302,
0.0,105,1.0,52,,,
,105,,52,0.8444444537162781,0.33013802766799927,
0.0,107,1.0,53,,,
,107,,53,0.8222222328186035,0.3571423888206482,
0.0,109,1.0,54,,,
,109,,54,0.800000011920929,0.35045838356018066,
0.0,111,1.0,55,,,
,111,,55,0.8111110925674438,0.39499419927597046,
0.0,113,1.0,56,,,
,113,,56,0.8444444537162781,0.3855753242969513,
0.0,115,1.0,57,,,
,115,,57,0.8111110925674438,0.36859896779060364,
0.0,117,1.0,58,,,
,117,,58,0.855555534362793,0.3663809895515442,
0.0,119,1.0,59,,,
,119,,59,0.8111110925674438,0.37198927998542786,
0.0,121,1.0,60,,,
,121,,60,0.8333333134651184,0.3240504562854767,
0.0,123,1.0,61,,,
,123,,61,0.8222222328186035,0.3578047752380371,
0.0,125,1.0,62,,,
,125,,62,0.8222222328186035,0.37566322088241577,
0.0,127,1.0,63,,,
,127,,63,0.7222222089767456,0.49323415756225586,
0.0,129,1.0,64,,,
,129,,64,0.855555534362793,0.32159116864204407,
0.0,131,1.0,65,,,
,131,,65,0.8333333134651184,0.3574846386909485,
0.0,133,1.0,66,,,
,133,,66,0.855555534362793,0.3195028007030487,
0.0,135,1.0,67,,,
,135,,67,0.8333333134651184,0.33576440811157227,
0.0,137,1.0,68,,,
,137,,68,0.855555534362793,0.3322737514972687,
0.0,139,1.0,69,,,
,139,,69,0.8666666746139526,0.32326358556747437,
0.0,141,1.0,70,,,
,141,,70,0.8444444537162781,0.329877644777298,
0.0,143,1.0,71,,,
,143,,71,0.800000011920929,0.3509249687194824,
0.0,145,1.0,72,,,
,145,,72,0.8333333134651184,0.38419631123542786,
0.0,147,1.0,73,,,
,147,,73,0.8444444537162781,0.32931068539619446,
0.0,149,1.0,74,,,
,149,,74,0.8666666746139526,0.31161949038505554,
0.0,151,1.0,75,,,
,151,,75,0.8444444537162781,0.3681776225566864,
0.0,153,1.0,76,,,
